category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260429_105034/90/forecast_Wh_metrics_90d.json,[0.49218643961390524],[9.159464532482895],[0.6419317349572337],[0.7371883748965526],[-0.10561415443123323],[0.5104678979390759],[9.317204523132018],"[""2025-11-30T00:00:00""]",[5.85374],[0.0931985988249884],[0.11184279719907544]
120,260429_122209/120/forecast_Wh_metrics_120d.json,[0.8509527227582705],[16.930424013361847],[1.042816979891812],[0.7900302020831312],[-1.3425320672594876],[0.8232405718905343],[15.098871776433107],"[""2025-10-31T00:00:00""]",[6.54126],[0.1556619885155443],[0.18342098122902004]
30,260429_122209/30/forecast_Wh_metrics_30d.json,[0.9600747544199539],[17.044616390367104],[1.3429418590262259],[1.2912624933412638],[-3.6449446836144643],[0.998725406426466],[18.98470443101355],"[""2026-01-29T00:00:00""]",[4.72749],[0.17581572377421947],[0.1957790155094615]
60,260429_122209/60/forecast_Wh_metrics_60d.json,[1.4459988653629574],[26.326956291549536],[1.9673890510769094],[1.936601300483201],[-9.105660801124678],[1.4538385314455902],[31.313142096621437],"[""2025-12-30T00:00:00""]",[4.57906],[0.27169706618226763],[0.30312405774213996]
90,260429_122209/90/forecast_Wh_metrics_90d.json,[1.7169140363193043],[31.798636459002672],[2.2392766590063937],[2.5715642821532754],[-9.370433920495191],[1.5633819907556203],[38.27207364368046],"[""2025-11-30T00:00:00""]",[5.85374],[0.32510847436885315],[0.3425347913996275]
120,260429_140656/120/forecast_Wh_metrics_120d.json,[0.8996909609077771],[16.230486488215202],[1.102544225546039],[0.8352791085201678],[-1.8850608350882627],[0.9136113387713067],[18.176697885997683],"[""2025-10-31T00:00:00""]",[6.54126],[0.16457751444806018],[0.20355591541675633]
30,260429_140656/30/forecast_Wh_metrics_30d.json,[0.4401980847947569],[8.23416754472756],[0.6157441715996532],[0.592048977352334],[-0.058581207568913385],[0.4767798742392516],[8.054673092446048],"[""2026-01-29T00:00:00""]",[4.72749],[0.08061220704524641],[0.09346262124969605]
60,260429_140656/60/forecast_Wh_metrics_60d.json,[1.4420425163418666],[26.252964154137608],[1.9620061438473253],[1.931302630585914],[-9.052417211398229],[1.4500035614997402],[31.20888844837564],"[""2025-12-30T00:00:00""]",[4.57906],[0.2709536849476263],[0.302324469874463]
90,260429_140656/90/forecast_Wh_metrics_90d.json,[0.6240266946979014],[12.656268746141052],[0.8138837370271479],[0.9346564389650375],[-0.7659881427019781],[0.6451497483383255],[11.625486906503351],"[""2025-11-30T00:00:00""]",[5.85374],[0.11816338056947585],[0.14135140085743375]
120,260429_153656/120/forecast_Wh_metrics_120d.json,[2.1607137414985464],[39.07385337666303],[2.6478897335408433],[2.0060210963386385],[-11.322419474487381],[1.8881304131331489],[50.12314962177906],"[""2025-10-31T00:00:00""]",[6.54126],[0.39525227268127516],[0.4206822949334516]
30,260429_153656/30/forecast_Wh_metrics_30d.json,[0.488151075351254],[8.551512022209227],[0.6828202799832306],[0.6565438490944437],[-0.43268904359810656],[0.554666318484558],[8.989679417845743],"[""2026-01-29T00:00:00""]",[4.72749],[0.08939370005192641],[0.10873061310988047]
60,260429_153656/60/forecast_Wh_metrics_60d.json,[0.5808376737163822],[10.6975029849416],[0.7902728744090386],[0.7779058623302835],[-1.024560348041894],[0.6507275287746456],[11.074170423349686],"[""2025-12-30T00:00:00""]",[4.57906],[0.1091369403234367],[0.13567611859245032]
90,260429_153656/90/forecast_Wh_metrics_90d.json,[0.6405688876553164],[12.623409626925161],[0.8354588105571719],[0.9594330507568375],[-1.0101306276547448],[0.6883016029551362],[11.860008313943437],"[""2025-11-30T00:00:00""]",[5.85374],[0.12129574887757685],[0.15080591140385005]
120,260429_170450/120/forecast_Wh_metrics_120d.json,[0.5332842936536659],[9.920083705124087],[0.6535238699619629],[0.4951047067777548],[0.08672880784041348],[0.514024563138374],[9.811160190588328],"[""2025-10-31T00:00:00""]",[6.54126],[0.09755194545375265],[0.11452653448571243]
30,260429_170450/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_170450/60/forecast_Wh_metrics_60d.json,[1.062374591453375],[19.154061399647855],[1.4454396814779256],[1.4228199376162667],[-4.675747395359469],[1.0895454356324907],[21.742457009964525],"[""2025-12-30T00:00:00""]",[4.57906],[0.19961568891827253],[0.22716926701272286]
90,260429_170450/90/forecast_Wh_metrics_90d.json,[0.4994797430173192],[9.111927202738999],[0.6514439899291415],[0.7481121591597026],[-0.19129216062449017],[0.5298778707691864],[9.462243173872363],"[""2025-11-30T00:00:00""]",[5.85374],[0.09457963170865928],[0.11609549489787707]
120,260429_183153/120/forecast_Wh_metrics_120d.json,[1.5525741454378092],[28.275632714341587],[1.9026329408237759],[1.4414202259009765],[-6.75746720591072],[1.4981109124138572],[35.08825374531405],"[""2025-10-31T00:00:00""]",[6.54126],[0.2840072924536892],[0.33378453750623716]
30,260429_183153/30/forecast_Wh_metrics_30d.json,[0.8912125524412292],[15.794458929450375],[1.2466181789000672],[1.1986455609465152],[-3.0927441872843158],[0.9374824038849957],[17.486099773984606],"[""2026-01-29T00:00:00""]",[4.72749],[0.16320518711982046],[0.18377361876350887]
60,260429_183153/60/forecast_Wh_metrics_60d.json,[1.340689650473997],[24.348406424757872],[1.824108028309273],[1.795562488218549],[-7.8272199795606205],[1.3587695044362118],[28.623725735735828],"[""2025-12-30T00:00:00""]",[4.57906],[0.2519099104571442],[0.28330224905474355]
90,260429_183153/90/forecast_Wh_metrics_90d.json,[0.5454347282519972],[9.968076972272353],[0.7113805526365014],[0.8169427448014414],[-0.5526664355895399],[0.6049308359946081],[10.422838484954143],"[""2025-11-30T00:00:00""]",[5.85374],[0.10328149727865502],[0.13253949383059338]
120,260429_195427/120/forecast_Wh_metrics_120d.json,[0.818869840454857],[14.908223173181542],[1.0035003721237281],[0.7602442394653522],[-1.4812194550903852],[0.8472597635606954],[16.347477921766977],"[""2025-10-31T00:00:00""]",[6.54126],[0.1497931721605396],[0.1887725441316495]
30,260429_195427/30/forecast_Wh_metrics_30d.json,[0.7213066666666667],[12.574287515195815],[1.008955720793413],[0.9701288785854965],[-2.012859550998241],[0.8043503742256957],[13.750361087012475],"[""2026-01-29T00:00:00""]",[4.72749],[0.13209081176162],[0.1576758970756875]
60,260429_195427/60/forecast_Wh_metrics_60d.json,[1.2913810509438728],[23.401219281853177],[1.7570200096646995],[1.7295243326830159],[-7.718775176815008],[1.3503972844171148],[27.641430080467806],"[""2025-12-30T00:00:00""]",[4.57906],[0.24264503331871834],[0.2815566485292332]
90,260429_195427/90/forecast_Wh_metrics_90d.json,[1.0820824444444443],[21.45478752863534],[1.4113006881576875],[1.620724454232917],[-4.227845138217038],[1.110012827668485],[18.79933870683523],"[""2025-11-30T00:00:00""]",[5.85374],[0.20489911854225615],[0.24320224655560133]
120,260429_210002/120/forecast_Wh_metrics_120d.json,[2.0256784385036606],[37.004942923244656],[2.482408029232454],[1.8806534174297462],[-11.091939574779374],[1.870389162700207],[48.53816846536672],"[""2025-10-31T00:00:00""]",[6.54126],[0.37055070792706724],[0.4167294800774405]
30,260429_210002/30/forecast_Wh_metrics_30d.json,[0.530163172408173],[9.160490664406689],[0.741586332796791],[0.7130484545394518],[-0.8461307865620653],[0.629632384133675],[9.807419558490713],"[""2026-01-29T00:00:00""]",[4.72749],[0.09708725434791203],[0.1234261264461404]
60,260429_210002/60/forecast_Wh_metrics_60d.json,[1.085749193014008],[19.591291307166394],[1.4772425661725352],[1.4541251376858642],[-4.901259190055237],[1.1109797966536146],[22.295268192202535],"[""2025-12-30T00:00:00""]",[4.57906],[0.20400767761157576],[0.2316383124722435]
90,260429_210002/90/forecast_Wh_metrics_90d.json,[0.6676535555555556],[13.58717491936076],[0.870783855004922],[1.0],[-1.0394092177617562],[0.693296215481206],[12.373998629257342],"[""2025-11-30T00:00:00""]",[5.85374],[0.1264244011417932],[0.15190022397099967]
