category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260506_112008/120/forecast_Wh_metrics_120d.json,[2.755048057466377],[50.79707294461934],[3.3762285705266204],[2.5578050523579994],[-22.70132052876856],[2.618606641982421],[79.2838282947926],"[""2025-10-31T00:00:00""]",[6.54126],[0.5039718983341553],[0.5834350445365453]
30,260506_112008/30/forecast_Wh_metrics_30d.json,[0.47114466964339374],[8.183210025698171],[0.6590319093469603],[0.6336709074448406],[-0.54235477094785],[0.5755034949528207],[8.663804389052956],"[""2026-01-29T00:00:00""]",[4.72749],[0.08627936597058508],[0.11281530132217912]
60,260506_112008/60/forecast_Wh_metrics_60d.json,[0.5344981320571627],[9.978954218022203],[0.7272244799212692],[0.7158441147102298],[-0.6975725802307471],[0.5958651588250589],[10.078861344711413],"[""2025-12-30T00:00:00""]",[4.57906],[0.10042993659153499],[0.12423736261180274]
90,260506_112008/90/forecast_Wh_metrics_90d.json,[0.6566455777777775],[13.35682287472874],[0.8564267543119347],[0.9835124404173684],[-0.9744534305589219],[0.6821660285635491],[12.18731033639234],"[""2025-11-30T00:00:00""]",[5.85374],[0.12433997129526937],[0.14946161569955876]
120,260506_132812/120/forecast_Wh_metrics_120d.json,[0.6331829917675231],[12.07695202000315],[0.7759467212862304],[0.5878513265933799],[-0.4859423389752362],[0.6556694849452962],[11.658537192994348],"[""2025-10-31T00:00:00""]",[6.54126],[0.11582608640498204],[0.1460855361081302]
30,260506_132812/30/forecast_Wh_metrics_30d.json,[0.8703418749202793],[15.268984796202448],[1.2174245079488346],[1.1705753268638521],[-3.050700263075309],[0.9326546908252872],[16.898515756355508],"[""2026-01-29T00:00:00""]",[4.72749],[0.15938320007442514],[0.18282724761493283]
60,260506_132812/60/forecast_Wh_metrics_60d.json,[1.443429438298765],[26.27892193179037],[1.963893154368606],[1.9331601112034549],[-9.070884262817415],[1.4513348335247267],[31.245323432901895],"[""2025-12-30T00:00:00""]",[4.57906],[0.2712142817127686],[0.3026020389231876]
90,260506_132812/90/forecast_Wh_metrics_90d.json,[0.5102005151840094],[10.090010651060279],[0.6654265041212093],[0.7641695471230896],[-0.1629886519043644],[0.5235454373076467],[9.627583242438673],"[""2025-11-30T00:00:00""]",[5.85374],[0.09660967736583191],[0.11470806764872976]
120,260506_155951/120/forecast_Wh_metrics_120d.json,[0.8206378767234147],[14.940524489810954],[1.0056670474190843],[0.761885696168154],[-1.4907108788708752],[0.8488787307249039],[16.38555754226966],"[""2025-10-31T00:00:00""]",[6.54126],[0.15011659323197024],[0.18913325587980198]
30,260506_155951/30/forecast_Wh_metrics_30d.json,[0.8199707251854498],[14.408474091461008],[1.146965905475687],[1.1028281268675784],[-2.6684656903419617],[0.8875606828367117],[15.866806095971327],"[""2026-01-29T00:00:00""]",[4.72749],[0.15015887654420257],[0.1739875200656276]
60,260506_155951/60/forecast_Wh_metrics_60d.json,[1.090090612564546],[19.760278828846587],[1.4831493905099913],[1.4599395258910755],[-4.614058514210937],[1.0836082025996179],[22.321994431238085],"[""2025-12-30T00:00:00""]",[4.57906],[0.2048234119687749],[0.2259313591366016]
90,260506_155951/90/forecast_Wh_metrics_90d.json,[0.7941373593107596],[16.15389698304341],[1.0357497318630102],[1.189445263494413],[-1.7618397663323293],[0.8067999819234781],[14.478658480538172],"[""2025-11-30T00:00:00""]",[5.85374],[0.1503749051282236],[0.1767687392738941]
120,260506_174548/120/forecast_Wh_metrics_120d.json,[3.4237707661764745],[63.77551634117344],[4.1957281465098015],[3.1786516899800685],[-40.3690621985001],[3.4595676807750877],[99.03520067785142],"[""2025-10-31T00:00:00""]",[6.54126],[0.626299148508411],[0.7708042099756331]
30,260506_174548/30/forecast_Wh_metrics_30d.json,[0.5984269999999999],[10.34333028483092],[0.8370730135040663],[0.804860597099638],[-1.5233945996778084],[0.7361196474101878],[11.301888474525429],"[""2026-01-29T00:00:00""]",[4.72749],[0.10958821242477211],[0.14430070461790087]
60,260506_174548/60/forecast_Wh_metrics_60d.json,[0.7245325072585417],[12.963127446547782],[0.9857803875744813],[0.9703538705385145],[-2.021307359494843],[0.7949343627409836],[14.198866575514652],"[""2025-12-30T00:00:00""]",[4.57906],[0.13613659131497072],[0.16574311690109944]
90,260506_174548/90/forecast_Wh_metrics_90d.json,[0.5236597777777776],[9.443024944568313],[0.6829806809385149],[0.7843285988974319],[-0.3414518320412405],[0.5622820014253067],[9.942617564973673],"[""2025-11-30T00:00:00""]",[5.85374],[0.09915827341398954],[0.12319519426784088]
120,260506_194230/120/forecast_Wh_metrics_120d.json,[1.8909290812130983],[34.45324717029876],[2.3172767427884433],[1.7555512124261954],[-9.623387809844049],[1.7531356097133175],[44.3028477867804],"[""2025-10-31T00:00:00""]",[6.54126],[0.34590145028199953],[0.3906049637746848]
30,260506_194230/30/forecast_Wh_metrics_30d.json,[0.47114466964339374],[8.183210025698171],[0.6590319093469603],[0.6336709074448406],[-0.54235477094785],[0.5755034949528207],[8.663804389052956],"[""2026-01-29T00:00:00""]",[4.72749],[0.08627936597058508],[0.11281530132217912]
60,260506_194230/60/forecast_Wh_metrics_60d.json,[1.4434294382987742],[26.27892193179055],[1.9638931543686187],[1.9331601112034675],[-9.070884262817549],[1.4513348335247362],[31.24532343290216],"[""2025-12-30T00:00:00""]",[4.57906],[0.27121428171277034],[0.3026020389231896]
90,260506_194230/90/forecast_Wh_metrics_90d.json,[1.9873937834146227],[37.0832126799896],[2.5920485343548796],[2.9766841902922376],[-15.165532677694433],[1.951918366045912],[48.34506623004943],"[""2025-11-30T00:00:00""]",[5.85374],[0.3763255161459398],[0.4276625637855069]
120,260506_213133/120/forecast_Wh_metrics_120d.json,[0.9362949532529217],[16.676646042789564],[1.147401317753957],[0.8692624999543577],[-1.928944960618018],[0.9205335015362082],[18.739322494218086],"[""2025-10-31T00:00:00""]",[6.54126],[0.17127336262348408],[0.20509819835313964]
30,260506_213133/30/forecast_Wh_metrics_30d.json,[0.875465949744923],[15.351553319834139],[1.2245920066661133],[1.1774670044167466],[-3.1194887785286483],[0.9405404690586379],[17.011634449899866],"[""2026-01-29T00:00:00""]",[4.72749],[0.16032155713445664],[0.18437308783199052]
60,260506_213133/60/forecast_Wh_metrics_60d.json,[1.090090612564546],[19.760278828846587],[1.4831493905099913],[1.4599395258910755],[-4.614058514210937],[1.0836082025996179],[22.321994431238085],"[""2025-12-30T00:00:00""]",[4.57906],[0.2048234119687749],[0.2259313591366016]
90,260506_213133/90/forecast_Wh_metrics_90d.json,[0.5355904493120754],[10.792327966070864],[0.6985412004100073],[0.802198153301842],[-0.40583289699527114],[0.5756168405899047],[10.047602680958482],"[""2025-11-30T00:00:00""]",[5.85374],[0.10141742112823779],[0.12611683874027435]
120,260506_235341/120/forecast_Wh_metrics_120d.json,[2.0925214201805495],[38.28160343165508],[2.5643220938038866],[1.9427108889081384],[-12.158972596529182],[1.9511694369142125],[51.20727284328854],"[""2025-10-31T00:00:00""]",[6.54126],[0.3827780751683474],[0.4347276177618553]
30,260506_235341/30/forecast_Wh_metrics_30d.json,[0.5722885235329351],[9.919982975122231],[0.8005108041373581],[0.7697053822170263],[-1.052054961370453],[0.663819978730897],[10.670502041764053],"[""2026-01-29T00:00:00""]",[4.72749],[0.10480154853505355],[0.1301278820736754]
60,260506_235341/60/forecast_Wh_metrics_60d.json,[0.6556463516229232],[11.752428860405221],[0.8920556471098491],[0.8780958323167893],[-1.4860316412673074],[0.7210861305136563],[12.69626798200259],"[""2025-12-30T00:00:00""]",[4.57906],[0.12319317425214008],[0.15034582529982846]
90,260506_235341/90/forecast_Wh_metrics_90d.json,[0.46772022029391913],[8.711196476243709],[0.6100217891483993],[0.7005432928530252],[-0.01726366517934963],[0.489647348212467],[8.863307323530343],"[""2025-11-30T00:00:00""]",[5.85374],[0.08856576627284357],[0.10728104408972654]
120,260507_022657/120/forecast_Wh_metrics_120d.json,[1.1558212828706842],[20.73005968040943],[1.41642423516903],[1.073072213363966],[-3.34912853024559],[1.1217216822545295],[24.112280911354365],"[""2025-10-31T00:00:00""]",[6.54126],[0.21143059355525104],[0.24992365372919315]
30,260507_022657/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260507_022657/60/forecast_Wh_metrics_60d.json,[0.6358652528524171],[11.411738645222185],[0.8651419903487174],[0.8516033484555845],[-1.3391950537779653],[0.6994666860465775],[12.274537666549447],"[""2025-12-30T00:00:00""]",[4.57906],[0.11947638952253442],[0.14583819010427782]
90,260507_022657/90/forecast_Wh_metrics_90d.json,[0.6715905494522292],[12.049474146826597],[0.8759186598658406],[1.0058967616721484],[-1.1594464667565547],[0.713407813662479],[13.078436063102766],"[""2025-11-30T00:00:00""]",[5.85374],[0.12716989570487044],[0.15630664679566447]
120,260507_061011/120/forecast_Wh_metrics_120d.json,[2.2203444577365343],[40.69585815616087],[2.720965383636329],[2.0613826523216283],[-13.849631830593609],[2.0727257197424414],[55.78065546486908],"[""2025-10-31T00:00:00""]",[6.54126],[0.40616032387843687],[0.46181079785792895]
30,260507_061011/30/forecast_Wh_metrics_30d.json,[0.4742300018499385],[8.234100577440941],[0.663347637627592],[0.6378205569793876],[-0.5613188604151449],[0.5790307496951832],[8.724871802556676],"[""2026-01-29T00:00:00""]",[4.72749],[0.08684437396863968],[0.11350674509287652]
60,260507_061011/60/forecast_Wh_metrics_60d.json,[0.678980972718955],[12.132029316433965],[0.9238041354074785],[0.9093474872408165],[-1.6417293520661267],[0.7433236952744025],[13.1729810853015],"[""2025-12-30T00:00:00""]",[4.57906],[0.12757765078537395],[0.1549823380340717]
90,260507_061011/90/forecast_Wh_metrics_90d.json,[0.9643312013752845],[17.616214908550766],[1.2577242104797333],[1.444358669778764],[-2.880504432661675],[0.9563365019862881],[19.680025094049835],"[""2025-11-30T00:00:00""]",[5.85374],[0.1826021798607373],[0.20953198012559682]
120,260507_110407/120/forecast_Wh_metrics_120d.json,[0.8801595733939513],[15.563933842359553],[1.0786090973120699],[0.8171460376552016],[-1.48794606046138],[0.8484074501669044],[17.248475897813787],"[""2025-10-31T00:00:00""]",[6.54126],[0.16100470183749],[0.18902825286448177]
30,260507_110407/30/forecast_Wh_metrics_30d.json,[0.6846670355093383],[11.983924092545127],[0.9577046133625277],[0.9208500268445192],[-1.7732926339527708],[0.7717091930570271],[12.982538736085674],"[""2026-01-29T00:00:00""]",[4.72749],[0.12538110166759917],[0.15127728312920388]
60,260507_110407/60/forecast_Wh_metrics_60d.json,[1.29607406987529],[23.525358069355256],[1.7634052111218592],[1.735809611865094],[-7.181422949500549],[1.3081219670482362],[27.438128751398573],"[""2025-12-30T00:00:00""]",[4.57906],[0.2435268317113359],[0.2727422819637458]
90,260507_110407/90/forecast_Wh_metrics_90d.json,[1.9818427962305583],[36.9963747981475],[2.584808686713837],[2.9683700172636147],[-15.560582157328128],[1.9756246685995538],[48.55018571999504],"[""2025-11-30T00:00:00""]",[5.85374],[0.3752744017998068],[0.4328565812732889]
120,260507_132820/120/forecast_Wh_metrics_120d.json,[1.0201873804495247],[18.314057822785614],[1.2502089652591957],[0.9471487907421058],[-2.51772238729281],[1.008822534433825],[20.90332646474976],"[""2025-10-31T00:00:00""]",[6.54126],[0.18661952897276127],[0.22476931466930128]
30,260507_132820/30/forecast_Wh_metrics_30d.json,[0.7128304729054775],[12.367924730511094],[0.9970993154929787],[0.9587287339199602],[-2.0536307379816803],[0.809774476640493],[13.557230130449364],"[""2026-01-29T00:00:00""]",[4.72749],[0.130538590818289],[0.15873917775720253]
60,260507_132820/60/forecast_Wh_metrics_60d.json,[0.6020796317238595],[10.733505807766091],[0.8191741388625597],[0.8063548497309508],[-1.150812128231368],[0.6707104220111955],[11.552797338143117],"[""2025-12-30T00:00:00""]",[4.57906],[0.11312821432014888],[0.1398425342928707]
90,260507_132820/90/forecast_Wh_metrics_90d.json,[0.4999573431572308],[9.813681062473659],[0.6520668975546946],[0.7488275004260487],[-0.09316445051197841],[0.5075857142570157],[9.445528858002298],"[""2025-11-30T00:00:00""]",[5.85374],[0.09467006829986911],[0.11121131481527702]
120,260507_150910/120/forecast_Wh_metrics_120d.json,[0.8812591515682812],[17.583568230297217],[1.0799565973085359],[0.8181668933902372],[-1.5385134614818785],[0.8569860029596535],[15.576224857824341],"[""2025-10-31T00:00:00""]",[6.54126],[0.16120584406380506],[0.19093958549858359]
