category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260508_120620/90/forecast_Wh_metrics_90d.json,[0.5448462320987654],[10.918580238718784],[0.7106130094328402],[0.8160613053957272],[-0.33041026198517875],[0.5599631315277592],[10.252698395784558],"[""2025-11-30T00:00:00""]",[5.85374],[0.10317006182964482],[0.12268713314053098]
120,260508_153918/120/forecast_Wh_metrics_120d.json,[0.6873012459660958],[12.721880056653168],[0.8422670148713354],[0.638095075931532],[-0.5547908082311539],[0.6706871345233343],[12.719462215022912],"[""2025-10-31T00:00:00""]",[6.54126],[0.12572576101467545],[0.14943152282867242]
30,260508_153918/30/forecast_Wh_metrics_30d.json,[0.6810751848650373],[11.956473952684819],[0.952680372740227],[0.9160191300864103],[-1.7898769565049228],[0.774013168763807],[13.058125662162817],"[""2026-01-29T00:00:00""]",[4.72749],[0.1247233364073323],[0.1517289288896187]
60,260508_153918/60/forecast_Wh_metrics_60d.json,[0.44962302222222206],[8.29166131261137],[0.611745577552768],[0.6021723463414886],[-0.08506842250725466],[0.476389717342087],[8.458387957447155],"[""2025-12-30T00:00:00""]",[4.57906],[0.08448226271264658],[0.0993268379286788]
90,260508_153918/90/forecast_Wh_metrics_90d.json,[0.5015670814814815],[9.882425705411714],[0.6541663908201409],[0.7512385387719934],[-0.1107348667823882],[0.5116486623017931],[9.477186188679289],"[""2025-11-30T00:00:00""]",[5.85374],[0.09497488237888507],[0.11210150100727269]
120,260508_173518/120/forecast_Wh_metrics_120d.json,[0.7002361148195543],[12.901838030089257],[0.8581183077955041],[0.6501038947306459],[-0.6158516668373744],[0.6837301617926507],[13.12088745748744],"[""2025-10-31T00:00:00""]",[6.54126],[0.1280918941182757],[0.1523375565466668]
30,260508_173518/30/forecast_Wh_metrics_30d.json,[0.4988743333333337],[8.664161931820084],[0.6978198536549416],[0.6709662060775179],[-0.5922579850371863],[0.5847396487656492],[9.19011179920686],"[""2026-01-29T00:00:00""]",[4.72749],[0.09135741939217307],[0.114625854141737]
60,260508_173518/60/forecast_Wh_metrics_60d.json,[0.7712490213096072],[13.79045510314351],[1.049341681051345],[1.0329204907707],[-2.3648498351121523],[0.8389124896265191],[15.144361366496403],"[""2025-12-30T00:00:00""]",[4.57906],[0.14491442656365272],[0.1749125177562185]
90,260508_173518/90/forecast_Wh_metrics_90d.json,[0.48802304444444444],[9.523048205207711],[0.6365016473535584],[0.7309525132961505],[-0.04956238938949964],[0.4973599037725252],[9.229846444194639],"[""2025-11-30T00:00:00""]",[5.85374],[0.09241023375655447],[0.10897085414609396]
120,260508_201538/120/forecast_Wh_metrics_120d.json,[0.7337745571974598],[14.096666534422264],[0.8992186606769628],[0.681241209061676],[-1.1189106679679206],[0.7829613372696509],[13.180616004902626],"[""2025-10-31T00:00:00""]",[6.54126],[0.1342269713001626],[0.17444662186241347]
30,260508_201538/30/forecast_Wh_metrics_30d.json,[0.7105549999999997],[12.663688485365421],[0.9939164093705357],[0.9556683130475949],[-1.7737324936965382],[0.7717703893306208],[13.47101796360273],"[""2026-01-29T00:00:00""]",[4.72749],[0.1301218900208111],[0.1512892793657269]
60,260508_201538/60/forecast_Wh_metrics_60d.json,[0.8391663333333333],[15.002705311590283],[1.1417482376917012],[1.12388097347997],[-2.7343493606478484],[0.8837741388399531],[16.62967767557043],"[""2025-12-30T00:00:00""]",[4.57906],[0.15767580201272696],[0.1842661322412185]
90,260508_201538/90/forecast_Wh_metrics_90d.json,[0.47741496790123455],[9.035873676873335],[0.6226661158722692],[0.7150639188972442],[-0.005532904758960733],[0.4868159332063367],[9.033652681785547],"[""2025-11-30T00:00:00""]",[5.85374],[0.09040152772468789],[0.10666068505129227]
120,260508_223023/120/forecast_Wh_metrics_120d.json,[0.7040318905307931],[13.071131971574482],[0.8627699168187531],[0.6536279183009472],[-0.6776520812791038],[0.6966825668918564],[12.816003365178513],"[""2025-10-31T00:00:00""]",[6.54126],[0.1287862429103628],[0.15522339931692325]
30,260508_223023/30/forecast_Wh_metrics_30d.json,[0.6750165181983707],[12.023840406915419],[0.9442055773775793],[0.9078704635473656],[-1.4410804320200952],[0.7240138422842447],[12.964783828354795],"[""2026-01-29T00:00:00""]",[4.72749],[0.12361383023585686],[0.14192761728653236]
60,260508_223023/60/forecast_Wh_metrics_60d.json,[0.6355404249319313],[11.715633741210626],[0.8647000377929058],[0.8511683120331401],[-1.2331816189632012],[0.6834328324713527],[12.321040954407824],"[""2025-12-30T00:00:00""]",[4.57906],[0.11941535573120574],[0.14249514570708963]
90,260508_223023/90/forecast_Wh_metrics_90d.json,[0.6776830074620928],[13.159310873990963],[0.8838647181593071],[1.0150219403807288],[-1.2458433285913992],[0.7275391506394066],[12.383293589794254],"[""2025-11-30T00:00:00""]",[5.85374],[0.12832354095841456],[0.15940280281652938]
120,260509_004456/120/forecast_Wh_metrics_120d.json,[0.6916576547873371],[12.18082658464932],[0.8476056629168055],[0.642139595032718],[-0.6304804957815215],[0.6868182036778121],[12.82532190400091],"[""2025-10-31T00:00:00""]",[6.54126],[0.12652266458142472],[0.15302558346369774]
30,260509_004456/30/forecast_Wh_metrics_30d.json,[0.5784943333333333],[9.966767940706093],[0.8091914216744217],[0.7780519504391074],[-1.1879357933327075],[0.6854457868627282],[10.774326242226667],"[""2026-01-29T00:00:00""]",[4.72749],[0.10593800060468572],[0.13436716486192007]
60,260509_004456/60/forecast_Wh_metrics_60d.json,[0.8113681584562722],[14.494320318582002],[1.1039267523481953],[1.086651358085726],[-2.541607468764907],[0.8606647753229619],[16.003909968168745],"[""2025-12-30T00:00:00""]",[4.57906],[0.15245264261735403],[0.17944785023149398]
90,260509_004456/90/forecast_Wh_metrics_90d.json,[0.8058713935962603],[15.761032952343005],[1.0510537881731514],[1.2070202980132314],[-1.9485008575196132],[0.8336183573145016],[14.63157340987635],"[""2025-11-30T00:00:00""]",[5.85374],[0.15259681834231154],[0.18264460753549616]
120,260509_034046/120/forecast_Wh_metrics_120d.json,[1.0154132702025092],[17.922913384692833],[1.2443584366736287],[0.9427164748421211],[-2.343533432622013],[0.9835282266078564],[19.946256138882237],"[""2025-10-31T00:00:00""]",[6.54126],[0.18574621665520494],[0.2191336512686338]
30,260509_034046/30/forecast_Wh_metrics_30d.json,[0.5418881555555551],[9.34476926783354],[0.7579871084577547],[0.7288180921677425],[-0.9365690639734112],[0.6448702169766545],[10.039521168477435],"[""2026-01-29T00:00:00""]",[4.72749],[0.09923441673168179],[0.12641318163999055]
60,260509_034046/60/forecast_Wh_metrics_60d.json,[0.7386904064423371],[13.366332841037107],[1.0050432628834867],[0.989315300335049],[-2.2943109116767304],[0.8300726581004014],[14.56380820471011],"[""2025-12-30T00:00:00""]",[4.57906],[0.1387968006440949],[0.1730694206419266]
90,260509_034046/90/forecast_Wh_metrics_90d.json,[0.4901572444444445],[9.581323143346685],[0.6392851671714154],[0.7341490813099675],[-0.05838159715477831],[0.49944512738320207],[9.269033618147617],"[""2025-11-30T00:00:00""]",[5.85374],[0.09281435795341028],[0.10942772370115361]
120,260509_065019/120/forecast_Wh_metrics_120d.json,[0.6274109666386225],[11.593725938733487],[0.7688732780128259],[0.5824925398393599],[-0.2558109243658728],[0.602762355920317],[11.50098543560261],"[""2025-10-31T00:00:00""]",[6.54126],[0.11477022879351095],[0.13429763612952902]
30,260509_065019/30/forecast_Wh_metrics_30d.json,[0.7355081952143098],[13.078256614440972],[1.0288206605400148],[0.9892293716223809],[-1.991018922164955],[0.8014296487601399],[13.97154584798878],"[""2026-01-29T00:00:00""]",[4.72749],[0.13469149676954173],[0.1571033505553522]
60,260509_065019/60/forecast_Wh_metrics_60d.json,[0.541928903783793],[9.953638950749252],[0.7373345977686678],[0.7257960189157521],[-0.6865155517321175],[0.5939214240946616],[10.339400731747519],"[""2025-12-30T00:00:00""]",[4.57906],[0.10182614714602171],[0.12383209562657123]
90,260509_065019/90/forecast_Wh_metrics_90d.json,[0.4812320074074075],[9.304434127456428],[0.6276444708113448],[0.7207810149486489],[-0.016503809838652517],[0.48946444054063976],[9.104686373860297],"[""2025-11-30T00:00:00""]",[5.85374],[0.09112430816925683],[0.10724096927654256]
