category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,S9_G30_EsAll_36120d-30Seed/260507_025831/120/forecast_Wh_metrics_120d.json,[0.779523750925384],[14.04351492528021],[0.955282922250977],[0.7237150666560883],[-0.9879568938102032],[0.7583810540124166],[15.097308191217456],"[""2025-10-31T00:00:00""]",[6.54126],[0.14259572114749638],[0.16897004572188687]
30,S9_G30_EsAll_36120d-30Seed/260507_025831/30/forecast_Wh_metrics_30d.json,[0.610772211726639],[10.550220998995542],[0.8543413579844514],[0.8214644175850508],[-1.6890846455265018],[0.7599028288599647],[11.53431195694932],"[""2026-01-29T00:00:00""]",[4.72749],[0.11184895548136499],[0.14896289486554934]
60,S9_G30_EsAll_36120d-30Seed/260507_025831/60/forecast_Wh_metrics_60d.json,[0.6254914563745437],[11.195295204098592],[0.8510276683409022],[0.8377099020420183],[-1.4058216036357183],[0.709358090870824],[12.157180139951453],"[""2025-12-30T00:00:00""]",[4.57906],[0.11752719707451499],[0.14790053932824182]
120,S9_G30_EsAll_36120d-30Seed/260507_063550/120/forecast_Wh_metrics_120d.json,[0.6277199799426365],[11.5048443381529],[0.7692519645271527],[0.5827794298586142],[-0.3040354111171397],[0.614226692573231],[11.60611552511788],"[""2025-10-31T00:00:00""]",[6.54126],[0.1148267555829484],[0.13685193186010547]
30,S9_G30_EsAll_36120d-30Seed/260507_063550/30/forecast_Wh_metrics_30d.json,[0.543997311111111],[9.379696595577608],[0.7609373717260197],[0.7316548227962415],[-0.9520633562265801],[0.6474448479279238],[10.081581548992862],"[""2026-01-29T00:00:00""]",[4.72749],[0.09962066031203352],[0.12691788364285964]
60,S9_G30_EsAll_36120d-30Seed/260507_063550/60/forecast_Wh_metrics_60d.json,[0.7847314419020915],[14.235877190719798],[1.0676855174754556],[1.050977263758909],[-2.726023957477939],[0.8827884408291166],[15.119691974908472],"[""2025-12-30T00:00:00""]",[4.57906],[0.14744771632463322],[0.18406061507112664]
120,S9_G30_EsAll_36120d-30Seed/260507_094939/120/forecast_Wh_metrics_120d.json,[1.1029487765813812],[20.71242001913749],[1.351630568196318],[1.023985024720884],[-2.954256583801877],[1.0695877406804966],[21.324928342191207],"[""2025-10-31T00:00:00""]",[6.54126],[0.20175879952171638],[0.2383080227151801]
30,S9_G30_EsAll_36120d-30Seed/260507_094939/30/forecast_Wh_metrics_30d.json,[0.7522193333333331],[13.211251491499507],[1.0521960141660602],[1.0117051900675573],[-2.2271618015119166],[0.8324654059625047],[14.514210682022116],"[""2026-01-29T00:00:00""]",[4.72749],[0.13775175934801367],[0.1631872550515948]
60,S9_G30_EsAll_36120d-30Seed/260507_094939/60/forecast_Wh_metrics_60d.json,[0.921993000000001],[16.57311514623547],[1.2544400807079794],[1.234809297300677],[-3.3007539071957703],[0.9484318123866994],[18.476042282042553],"[""2025-12-30T00:00:00""]",[4.57906],[0.17323858209094065],[0.19774720042433247]
120,S9_G30_EsAll_36120d-30Seed/260507_125647/120/forecast_Wh_metrics_120d.json,[0.7422066164201586],[14.103239380215655],[0.9095518957647851],[0.6890695892683846],[-0.9031342602697898],[0.7420252895708752],[13.480055716343262],"[""2025-10-31T00:00:00""]",[6.54126],[0.13576942021745572],[0.16532592216304806]
30,S9_G30_EsAll_36120d-30Seed/260507_125647/30/forecast_Wh_metrics_30d.json,[1.0272242304484918],[18.186232331331677],[1.4368697971948365],[1.3815758772147468],[-4.237461151623111],[1.0605135751835733],[20.361365589106793],"[""2026-01-29T00:00:00""]",[4.72749],[0.18811261385977301],[0.20789128057407272]
60,S9_G30_EsAll_36120d-30Seed/260507_125647/60/forecast_Wh_metrics_60d.json,[0.702371466666667],[12.442565767734411],[0.9556286428772396],[0.9406739717098852],[-1.8557885708142448],[0.7728529019867968],[13.651356408720433],"[""2025-12-30T00:00:00""]",[4.57906],[0.1319726255909401],[0.16113915171520807]
120,S9_G30_EsAll_36120d-30Seed/260507_143239/120/forecast_Wh_metrics_120d.json,[0.6392034417189907],[12.63125079077195],[0.7833246017113956],[0.593440752615042],[-0.5948548811792711],[0.6792733548174782],[11.557028505903498],"[""2025-10-31T00:00:00""]",[6.54126],[0.11692738755384735],[0.15134456380985697]
30,S9_G30_EsAll_36120d-30Seed/260507_143239/30/forecast_Wh_metrics_30d.json,[0.6685123555555558],[11.571880704124318],[0.9351076272119923],[0.8991226225770731],[-1.7260857280697564],[0.765112996886851],[12.613556557107616],"[""2026-01-29T00:00:00""]",[4.72749],[0.12242274166975593],[0.14998423823018095]
60,S9_G30_EsAll_36120d-30Seed/260507_143239/60/forecast_Wh_metrics_60d.json,[0.5516609166666672],[9.781455619185738],[0.7505757254412682],[0.7388299356474658],[-0.8442294103510313],[0.6210710532079187],[10.492846825931913],"[""2025-12-30T00:00:00""]",[4.57906],[0.10365475117308036],[0.12949276946689214]
120,S9_G30_EsAll_36120d-30Seed/260507_154725/120/forecast_Wh_metrics_120d.json,[0.9410655951066929],[17.522107469384714],[1.153247595927872],[0.8736915957748451],[-1.8949506879473077],[0.9151759074526471],[17.094193311759152],"[""2025-10-31T00:00:00""]",[6.54126],[0.17214604047924842],[0.2039045069858922]
30,S9_G30_EsAll_36120d-30Seed/260507_154725/30/forecast_Wh_metrics_30d.json,[0.5765218],[9.931670900879627],[0.8064322640468906],[0.7753989712846481],[-1.1771252828129963],[0.6837503086972216],[10.734465829563307],"[""2026-01-29T00:00:00""]",[4.72749],[0.10557677625827709],[0.13403480218853184]
60,S9_G30_EsAll_36120d-30Seed/260507_154725/60/forecast_Wh_metrics_60d.json,[0.8128201222062186],[14.50272207795496],[1.1059022570685866],[1.0885959480530873],[-2.583072996371198],[0.8656884922189313],[16.056139502330744],"[""2025-12-30T00:00:00""]",[4.57906],[0.15272546046010138],[0.18049529079488297]
120,S9_G30_EsAll_36120d-30Seed/260507_171058/120/forecast_Wh_metrics_120d.json,[0.6952041342741101],[12.97709904104884],[0.8519517669114636],[0.6454321703200232],[-0.8181543910267322],[0.7252694308349715],[12.512649725649835],"[""2025-10-31T00:00:00""]",[6.54126],[0.12717141043342842],[0.16159265614626706]
30,S9_G30_EsAll_36120d-30Seed/260507_171058/30/forecast_Wh_metrics_30d.json,[0.7753571848650371],[13.997398985805626],[1.0845609828383513],[1.0428246833380985],[-1.9276014198468094],[0.7928879165452561],[14.69120522453812],"[""2026-01-29T00:00:00""]",[4.72749],[0.1419889274382055],[0.15542892441878378]
60,S9_G30_EsAll_36120d-30Seed/260507_171058/60/forecast_Wh_metrics_60d.json,[0.7245779783538128],[13.233078684638528],[0.9858422543830382],[0.9704147691908895],[-2.141791906006858],[0.8106297246667531],[14.071646190919099],"[""2025-12-30T00:00:00""]",[4.57906],[0.13614513514130225],[0.16901558608647732]
120,S9_G30_EsAll_36120d-30Seed/260507_183801/120/forecast_Wh_metrics_120d.json,[0.6687042328690607],[12.344504027740864],[0.819476934395422],[0.620829484527617],[-0.4854811601744946],[0.6555677298757087],[12.273555016679254],"[""2025-10-31T00:00:00""]",[6.54126],[0.12232387044929742],[0.14606286471006497]
30,S9_G30_EsAll_36120d-30Seed/260507_183801/30/forecast_Wh_metrics_30d.json,[0.5967833333333332],[10.382689021060147],[0.8347738709021066],[0.8026499305776292],[-1.128049045255442],[0.6759999148794817],[11.185546350349007],"[""2026-01-29T00:00:00""]",[4.72749],[0.10928721248355591],[0.1325155012258408]
