category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,260503_092514/60/forecast_Wh_metrics_60d.json,[0.793819686978206],[14.137348735618579],[1.0800507511450983],[1.0631489933882372],[-2.4657373838529337],[0.8513960714409909],[15.634621703426507],"[""2025-12-30T00:00:00""]",[4.57906],[0.14915535910574007],[0.17751533360743688]
120,260503_102456/120/forecast_Wh_metrics_120d.json,[0.6746352850599556],[11.979368198809375],[0.8267452605525342],[0.6263359130701454],[-0.534287106171583],[0.6662501364673168],[12.75216387759114],"[""2025-10-31T00:00:00""]",[6.54126],[0.12340881835924898],[0.14844294359079907]
30,260503_102456/30/forecast_Wh_metrics_30d.json,[0.527503861223116],[9.109128139486172],[0.7378665179697181],[0.7094717863939992],[-0.8054568693205766],[0.622657729647989],[9.768572354098097],"[""2026-01-29T00:00:00""]",[4.72749],[0.09660026235214378],[0.12205889279018277]
60,260503_102456/60/forecast_Wh_metrics_60d.json,[1.010014184240107],[18.242014052237298],[1.3741994513996987],[1.3526945487712398],[-3.961072981583076],[1.018642106981434],[20.473110075538067],"[""2025-12-30T00:00:00""]",[4.57906],[0.1897773900338658],[0.21238598522230126]
30,260503_114722/30/forecast_Wh_metrics_30d.json,[0.7607410635459095],[13.245647073487726],[1.064116115346839],[1.0231665794554297],[-2.332852247788167],[0.8459873229913194],[14.559695855049263],"[""2026-01-29T00:00:00""]",[4.72749],[0.1393123192504954],[0.16583794120283057]
120,260504_004856/120/forecast_Wh_metrics_120d.json,[1.0802837537738155],[21.40457637276659],[1.3238552641150843],[1.0029426658800313],[-2.64961770629222],[1.0275611610712883],[18.61786589542372],"[""2025-10-31T00:00:00""]",[6.54126],[0.19761276129230693],[0.22894434855621806]
30,260504_004856/30/forecast_Wh_metrics_30d.json,[0.7611844818867409],[13.248193221865826],[1.0647363639766683],[1.0237629595495206],[-2.351747531382837],[0.8483820552809843],[14.558052135567563],"[""2026-01-29T00:00:00""]",[4.72749],[0.13939352117375098],[0.16630737787387398]
60,260504_004856/60/forecast_Wh_metrics_60d.json,[1.4434294382987491],[26.278921931790073],[1.9638931543685845],[1.9331601112034338],[-9.070884262817204],[1.4513348335247116],[31.24532343290148],"[""2025-12-30T00:00:00""]",[4.57906],[0.2712142817127656],[0.30260203892318444]
120,260504_014708/120/forecast_Wh_metrics_120d.json,[0.6841559849250891],[13.623107536197097],[0.8384125920202957],[0.6351749945340881],[-0.5938468997230784],[0.679058663445559],[12.396004149795337],"[""2025-10-31T00:00:00""]",[6.54126],[0.12515040873604757],[0.15129672979457223]
30,260504_014708/30/forecast_Wh_metrics_30d.json,[0.4652023192205302],[8.289775070503119],[0.6507198158489003],[0.625678681643663],[-0.16111147566139872],[0.49933589134391093],[8.55081996507096],"[""2026-01-29T00:00:00""]",[4.72749],[0.08519116045772686],[0.09788425185421387]
60,260504_014708/60/forecast_Wh_metrics_60d.json,[1.4434294382988149],[26.278921931791306],[1.963893154368674],[1.933160111203522],[-9.070884262818078],[1.4513348335247744],[31.245323432903206],"[""2025-12-30T00:00:00""]",[4.57906],[0.271214281712778],[0.30260203892319754]
120,260504_025133/120/forecast_Wh_metrics_120d.json,[0.5714018255088348],[10.841358260378724],[0.7002357593384879],[0.5304932784211218],[-0.20286200105507324],[0.5899183371670732],[10.640933497061827],"[""2025-10-31T00:00:00""]",[6.54126],[0.10452466044389634],[0.13143594222973276]
30,260504_025133/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260504_025133/60/forecast_Wh_metrics_60d.json,[0.6314036751527592],[11.3419983892561],[0.8590716819085842],[0.8456280345170112],[-1.3079537826867722],[0.6947800991228628],[12.181243259942514],"[""2025-12-30T00:00:00""]",[4.57906],[0.11863807795772069],[0.14486104084419793]
120,260504_041643/120/forecast_Wh_metrics_120d.json,[0.6322010172786824],[11.841863819646061],[0.7747433410708591],[0.5869396549069146],[-0.44309702310844257],[0.6461476344735032],[11.977383249534913],"[""2025-10-31T00:00:00""]",[6.54126],[0.11564645703484615],[0.14396403333447377]
30,260504_041643/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260504_041643/60/forecast_Wh_metrics_60d.json,[0.6556463516229232],[11.752428860405221],[0.8920556471098491],[0.8780958323167893],[-1.4860316412673074],[0.7210861305136563],[12.69626798200259],"[""2025-12-30T00:00:00""]",[4.57906],[0.12319317425214008],[0.15034582529982846]
120,260504_054623/120/forecast_Wh_metrics_120d.json,[0.5765887943076777],[10.49650512026072],[0.7065922336677193],[0.5353088949633265],[-0.07861977070358517],[0.5586221880616481],[10.7054130528029],"[""2025-10-31T00:00:00""]",[6.54126],[0.10547349562122421],[0.12446304685308207]
30,260504_054623/30/forecast_Wh_metrics_30d.json,[0.6754549305726306],[11.718506853868073],[0.9448188237171983],[0.9084601108148229],[-1.7686739686572834],[0.7710663197353459],[12.792280914515993],"[""2026-01-29T00:00:00""]",[4.72749],[0.12369411543087654],[0.15115126139669746]
60,260504_054623/60/forecast_Wh_metrics_60d.json,[1.4420425163418298],[26.252964154136926],[1.9620061438472751],[1.9313026305858647],[-9.052417211397746],[1.4500035614997053],[31.208888448374676],"[""2025-12-30T00:00:00""]",[4.57906],[0.2709536849476194],[0.3023244698744557]
120,260504_065251/120/forecast_Wh_metrics_120d.json,[0.7341970138915204],[13.040378908701381],[0.8997363686553889],[0.6816334206833724],[-0.8209761392381207],[0.7258320162512217],[14.061584421806412],"[""2025-10-31T00:00:00""]",[6.54126],[0.13430424991658915],[0.16171800221471552]
30,260504_065251/30/forecast_Wh_metrics_30d.json,[0.4728956690023937],[8.320358517197942],[0.6614811877219029],[0.6360259321840415],[-0.33713563615904785],[0.5358503965953236],[8.68833874595533],"[""2026-01-29T00:00:00""]",[4.72749],[0.08660002143851973],[0.1050421491540489]
60,260504_065251/60/forecast_Wh_metrics_60d.json,[0.6858450000000001],[12.333124767286376],[0.9331431552659981],[0.9185403604009815],[-2.0331766629086925],[0.7964942948241391],[13.56884420908336],"[""2025-12-30T00:00:00""]",[4.57906],[0.12886737245744934],[0.16606836137125258]
120,260504_080515/120/forecast_Wh_metrics_120d.json,[0.6202222317045347],[12.23770817106006],[0.7600636994631398],[0.5758184702220837],[-0.2946230196784949],[0.6120059660061876],[11.309776791565467],"[""2025-10-31T00:00:00""]",[6.54126],[0.11345521710740446],[0.1363571459374036]
30,260504_080515/30/forecast_Wh_metrics_30d.json,[0.7609253333333332],[13.31461485156828],[1.0643738698703757],[1.0234144150162137],[-2.4378353965696835],[0.8592081031915783],[14.657826971699711],"[""2026-01-29T00:00:00""]",[4.72749],[0.1393460640457798],[0.1684295958410509]
60,260504_080515/60/forecast_Wh_metrics_60d.json,[1.4318439832391006],[26.059597967520542],[1.9481302807024459],[1.917643911382922],[-8.938611195323587],[1.4417722652901503],[30.95213863651665],"[""2025-12-30T00:00:00""]",[4.57906],[0.26903742374593526],[0.3006082518395431]
120,260504_090827/120/forecast_Wh_metrics_120d.json,[0.6841559849250891],[13.623107536197097],[0.8384125920202957],[0.6351749945340881],[-0.5938468997230784],[0.679058663445559],[12.396004149795337],"[""2025-10-31T00:00:00""]",[6.54126],[0.12515040873604757],[0.15129672979457223]
30,260504_090827/30/forecast_Wh_metrics_30d.json,[0.7917295648306408],[13.818186491397386],[1.1074624853374724],[1.0648448854931782],[-2.5957865672261837],[0.8787245856972694],[15.251372228872789],"[""2026-01-29T00:00:00""]",[4.72749],[0.14498715421201358],[0.17225538990475003]
60,260504_090827/60/forecast_Wh_metrics_60d.json,[1.3695766766807356],[24.928972563146644],[1.863410976906708],[1.8342503833885224],[-7.872056657821842],[1.3622159771033868],[29.212555227197058],"[""2025-12-30T00:00:00""]",[4.57906],[0.2573376604084771],[0.2840208355808089]
120,260504_101611/120/forecast_Wh_metrics_120d.json,[1.6423494337640276],[29.536271335430293],[2.012649857789277],[1.5247682043274835],[-7.001029532922358],[1.5214473568174294],[36.43462372177933],"[""2025-10-31T00:00:00""]",[6.54126],[0.3004295912802543],[0.33898398184493145]
30,260504_101611/30/forecast_Wh_metrics_30d.json,[0.5300844107438814],[10.081452777708696],[0.7414761618591875],[0.7129425232225988],[-0.5164403717636237],[0.5706482552935123],[9.644262063161396],"[""2026-01-29T00:00:00""]",[4.72749],[0.09707283095124489],[0.11186353416531558]
60,260504_101611/60/forecast_Wh_metrics_60d.json,[1.8089184275430834],[33.11638522528677],[2.461168119759363],[2.422653200608593],[-14.655870800210348],[1.8095576794038186],[41.43855351225287],"[""2025-12-30T00:00:00""]",[4.57906],[0.33988811575113625],[0.3772911878693485]
120,260504_120444/120/forecast_Wh_metrics_120d.json,[0.7026031927360236],[12.446165907705401],[0.8610190906216286],[0.6523015057079433],[-0.6628349659110615],[0.6935991742626979],[13.348576922265243],"[""2025-10-31T00:00:00""]",[6.54126],[0.12852489591214095],[0.1545364082709696]
30,260504_120444/30/forecast_Wh_metrics_30d.json,[0.7611844818867409],[13.248193221865826],[1.0647363639766683],[1.0237629595495206],[-2.351747531382837],[0.8483820552809843],[14.558052135567563],"[""2026-01-29T00:00:00""]",[4.72749],[0.13939352117375098],[0.16630737787387398]
60,260504_120444/60/forecast_Wh_metrics_60d.json,[0.67871381211598],[12.120615195142488],[0.9234406435280847],[0.9089896836605009],[-1.8925250290319893],[0.7778079525745887],[13.294358890967692],"[""2025-12-30T00:00:00""]",[4.57906],[0.1275274524389115],[0.16217227541361187]
120,260504_141537/120/forecast_Wh_metrics_120d.json,[1.1610007819808845],[20.79572937999504],[1.422771555619388],[1.0778808949972503],[-3.403723305947822],[1.1287402323666489],[24.243784773824046],"[""2025-10-31T00:00:00""]",[6.54126],[0.21237806232695308],[0.2514874121156556]
30,260504_141537/30/forecast_Wh_metrics_30d.json,[0.6588041209205672],[11.420132189011127],[0.9215278568779091],[0.8860654317666646],[-1.6442102970408508],[0.7535356796747582],[12.434103272488631],"[""2026-01-29T00:00:00""]",[4.72749],[0.12064490063075091],[0.14771474978877402]
60,260504_141537/60/forecast_Wh_metrics_60d.json,[102.59928582592224],[1945.6576829733926],[139.59396263534626],[137.40945108504968],[-41617.42186215235],[93.29892084647405],[178.74317817439615],"[""2025-12-30T00:00:00""]",[4.57906],[19.277971524757664],[19.452743106089816]
120,260504_152030/120/forecast_Wh_metrics_120d.json,[2.0256784385036606],[37.004942923244656],[2.482408029232454],[1.8806534174297462],[-11.091939574779374],[1.870389162700207],[48.53816846536672],"[""2025-10-31T00:00:00""]",[6.54126],[0.37055070792706724],[0.4167294800774405]
30,260504_152030/30/forecast_Wh_metrics_30d.json,[0.4742300018499385],[8.234100577440941],[0.663347637627592],[0.6378205569793876],[-0.5613188604151449],[0.5790307496951832],[8.724871802556676],"[""2026-01-29T00:00:00""]",[4.72749],[0.08684437396863968],[0.11350674509287652]
60,260504_152030/60/forecast_Wh_metrics_60d.json,[0.5960005231503952],[10.640278287113782],[0.8109030593104057],[0.7982132046362332],[-1.1188454852357679],[0.66570751572892],[11.441864049591564],"[""2025-12-30T00:00:00""]",[4.57906],[0.11198597555082652],[0.13879943272417095]
120,260504_162633/120/forecast_Wh_metrics_120d.json,[1.3075833810212012],[25.74629965764953],[1.6024041240897493],[1.2139691608251375],[-4.255791872532015],[1.2331135579954073],[21.901321576079116],"[""2025-10-31T00:00:00""]",[6.54126],[0.2391919360453807],[0.27474216711029703]
30,260504_162633/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260504_162633/60/forecast_Wh_metrics_60d.json,[0.4945844498435734],[9.069901723856438],[0.6729189453484822],[0.6623884096378001],[-0.4668826154665935],[0.5539001684582185],[9.346520548479928],"[""2025-12-30T00:00:00""]",[4.57906],[0.09293032465010961],[0.11548769895385991]
120,260504_172357/120/forecast_Wh_metrics_120d.json,[2.1833807359286275],[39.88489606927351],[2.6756674537861973],[2.0270652856470277],[-13.312943220034064],[2.0349252820987505],[51.85083055501553],"[""2025-10-31T00:00:00""]",[6.54126],[0.3993986715731199],[0.4533887234361473]
30,260504_172357/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260504_172357/60/forecast_Wh_metrics_60d.json,[1.200945666666666],[21.8621123830412],[1.6339759401852607],[1.6084057848085154],[-5.600213927721039],[1.1749322442544268],[24.933454257309023],"[""2025-12-30T00:00:00""]",[4.57906],[0.22565260740764023],[0.2449723416646217]
120,260504_181133/120/forecast_Wh_metrics_120d.json,[2.078643835316807],[37.550774539542694],[2.547315530749606],[1.929826846256755],[-10.511783654769559],[1.8249682067343442],[47.76320121340206],"[""2025-10-31T00:00:00""]",[6.54126],[0.3802394941192366],[0.4066095265716426]
30,260504_181133/30/forecast_Wh_metrics_30d.json,[0.7061261584444639],[12.304995896155651],[0.9877213951963351],[0.9497116966869558],[-1.956730474943666],[0.7968226921859332],[13.455069943728901],"[""2026-01-29T00:00:00""]",[4.72749],[0.12931084902636447],[0.1562002540517594]
60,260504_181133/60/forecast_Wh_metrics_60d.json,[0.5521929765544397],[9.831759025208354],[0.7512996325084138],[0.7395425142637267],[-0.9675712032216941],[0.6415035222747925],[10.535316955971437],"[""2025-12-30T00:00:00""]",[4.57906],[0.1037547229738914],[0.133752921333333]
120,260504_190154/120/forecast_Wh_metrics_120d.json,[0.9804503625995178],[17.403992877381135],[1.2015124444819507],[0.9102566774641042],[-2.1413300787269143],[0.953324555697676],[19.66473298143706],"[""2025-10-31T00:00:00""]",[6.54126],[0.179350566725176],[0.21240416399088535]
30,260504_190154/30/forecast_Wh_metrics_30d.json,[0.740749082209445],[12.894696021582167],[1.036151554818602],[0.9962781569148832],[-2.1758356170553554],[0.8258189270331083],[14.13968205861047],"[""2026-01-29T00:00:00""]",[4.72749],[0.13565124530581615],[0.1618843532799681]
60,260504_190154/60/forecast_Wh_metrics_60d.json,[1.0642376333333339],[19.272142663641926],[1.4479744885819468],[1.425315077421703],[-4.402112060247653],[1.062956790879841],[21.725700983732715],"[""2025-12-30T00:00:00""]",[4.57906],[0.19996574660163902],[0.22162555791920094]
120,260504_195558/120/forecast_Wh_metrics_120d.json,[1.7788501758737323],[32.3545191380867],[2.1799274136779716],[1.6514964067167732],[-8.575590122684659],[1.6644347230473981],[41.074004737504765],"[""2025-10-31T00:00:00""]",[6.54126],[0.3253992240017657],[0.3708420849471938]
30,260504_195558/30/forecast_Wh_metrics_30d.json,[0.8024636386764462],[14.074144082575623],[1.1224771881187363],[1.0792817893842903],[-2.4640670115830527],[0.8624798691835199],[15.448712663002373],"[""2026-01-29T00:00:00""]",[4.72749],[0.14695285423022353],[0.16907095644002837]
60,260504_195558/60/forecast_Wh_metrics_60d.json,[1.4434294382987263],[26.278921931789647],[1.9638931543685534],[1.9331601112034031],[-9.070884262816902],[1.4513348335246898],[31.24532343290089],"[""2025-12-30T00:00:00""]",[4.57906],[0.27121428171276135],[0.3026020389231799]
120,260504_204647/120/forecast_Wh_metrics_120d.json,[1.3069980350767196],[23.517695048878977],[1.6016868002318063],[1.213425721733353],[-4.454998186863566],[1.256265110702071],[27.965454610609214],"[""2025-10-31T00:00:00""]",[6.54126],[0.2390848606330215],[0.2799004169092347]
30,260504_204647/30/forecast_Wh_metrics_30d.json,[0.6841975744574603],[11.882045720403408],[0.9570479364789342],[0.9202186203362408],[-1.8104784827833744],[0.7768657180867108],[12.97552742548266],"[""2026-01-29T00:00:00""]",[4.72749],[0.1252951306176994],[0.15228811091756825]
60,260504_204647/60/forecast_Wh_metrics_60d.json,[1.4420425163418298],[26.252964154136926],[1.9620061438472751],[1.9313026305858647],[-9.052417211397746],[1.4500035614997053],[31.208888448374676],"[""2025-12-30T00:00:00""]",[4.57906],[0.2709536849476194],[0.3023244698744557]
