column_name,dtype,non_null_count,null_count,null_ratio,unique_values,has_duplicates,is_constant,is_numeric,most_common_value,most_common_freq,is_datetime,is_binary,is_boolean,mean,std,min,max,median,q25,q75,iqr,skewness,kurtosis
WS10m_max,float64,366,0,0.0,52,True,False,True,,,False,False,False,2.159071038251366,0.6998181449745581,1.1,6.48,2.07,1.72,2.41,0.6900000000000002,2.6137413527094764,11.48975723069296
WS10m_std,float64,366,0,0.0,366,False,False,True,,,False,False,False,0.4886351425959867,0.2003454958085939,0.1493439760700303,1.7191162521498649,0.4518535695007214,0.3624673272990609,0.5913830635085175,0.22891573620945666,2.0637330412517247,8.510140726862703
WS10m_p10,float64,366,0,0.0,94,True,False,True,,,False,False,False,0.6953497267759563,0.34088322523483094,0.042,1.951,0.641,0.431,0.86675,0.43575,0.8214318787621021,0.5579588076843898
WS10m_p90,float64,366,0,0.0,135,True,False,True,,,False,False,False,1.9276693989071036,0.6121588722905363,0.9,5.578999999999999,1.809,1.527,2.21,0.683,2.034785979573659,8.06661664869981
SP_mean,float64,366,0,0.0,347,True,False,True,,,False,False,False,95164.70514571949,457.57815625560204,92955.41666666669,96377.08333333331,95195.83333333331,94903.33333333334,95474.37499999999,571.0416666666424,-0.9792124013761885,2.9922075070591223
WD10m_circmean,float64,366,0,0.0,366,False,False,True,,,False,False,False,171.88906824607406,137.70150977027478,0.9325978410414564,359.5357743207516,170.0116436097441,21.717388805947184,331.059594541229,309.3422057352818,0.09338660528458397,-1.6196897609270144
WD10m_circstd_deg,float64,366,0,0.0,366,False,False,True,,,False,False,False,52.059105059924306,27.844088434707594,5.727862788682431,128.7282026016073,47.339393791886415,29.56131295127697,72.04198499091568,42.480672039638705,0.441037368492629,-0.5978923500323479
WD10m_mode_sector,str,366,0,0.0,8,True,False,False,NE,105.0,False,False,False,,,,,,,,,,
n_obs_G(h),int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_G(h),float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_T2m,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_T2m,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_RH,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_RH,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_WS10m,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_WS10m,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_WD10m,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_WD10m,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_SP,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_SP,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
