category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
60,260425_040545/60/forecast_Wh_metrics_60d.json,[0.5051188675232383],[9.93950315086924],[0.6872518044529335],[-0.45781651331809226],[0.5521858190165232],[9.402419107337874],[0.09490969714206876],[0.11513025859998652]
90,260425_040545/90/forecast_Wh_metrics_90d.json,[0.5512757605667241],[10.756412111440214],[0.7189986902078558],[-0.45757335341244176],[0.5861136700441304],[10.384314925005818],[0.10438753349503485],[0.1284166792838659]
120,260425_050709/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260425_050709/30/forecast_Wh_metrics_30d.json,[0.8336997636630553],[14.587713388793027],[1.1661699313818754],[-2.78957888264348],[0.902092974603587],[16.09794305567671],[0.15267303580685568],[0.1768362688377202]
60,260425_050709/60/forecast_Wh_metrics_60d.json,[0.5051188675232383],[9.93950315086924],[0.6872518044529335],[-0.45781651331809226],[0.5521858190165232],[9.402419107337874],[0.09490969714206876],[0.11513025859998652]
90,260425_050709/90/forecast_Wh_metrics_90d.json,[1.4881470621612818],[29.39579762260606],[1.940908461911459],[-7.368017516829539],[1.404358317834495],[24.93382880101576],[0.2817900085742956],[0.30769292872388243]
120,260425_063649/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260425_063649/30/forecast_Wh_metrics_30d.json,[0.6781614529643721],[11.753388141037151],[0.9486046770536475],[-1.796744080499726],[0.7749651780660765],[12.833556085804803],[0.12418975307890807],[0.15191555019989564]
60,260425_063649/60/forecast_Wh_metrics_60d.json,[0.7799241176519338],[14.004826669459202],[1.0611447951268507],[-2.4216537998037833],[0.8459639363299776],[15.419919435776244],[0.14654444044645548],[0.1763827382046884]
90,260425_063649/90/forecast_Wh_metrics_90d.json,[0.5911098255716636],[11.96823547721775],[0.7709520729119362],[-0.6217006061049102],[0.6182327109948623],[11.059213749869887],[0.11193036431108926],[0.135453915901065]
30,260425_074638/30/forecast_Wh_metrics_30d.json,[0.7817153380157655],[13.669497190727203],[1.0934546965548122],[-2.4038877066825988],[0.8549553552506417],[15.01818656594915],[0.1431532777066781],[0.16759593445652124]
60,260425_074638/60/forecast_Wh_metrics_60d.json,[0.812791859142676],[14.55288372717354],[1.105863803067622],[-2.6841015214307538],[0.8778081548003795],[16.12942923245232],[0.15272014995009356],[0.18302222980543545]
90,260425_074638/90/forecast_Wh_metrics_90d.json,[1.0056648444444438],[20.345520609180028],[1.3116334104737488],[-3.1746580845485886],[0.9919210261282623],[17.875566856866214],[0.19042896521752145],[0.21732849922719844]
30,260425_101721/30/forecast_Wh_metrics_30d.json,[0.4712204666666667],[8.401299947159997],[0.6591379333777706],[-0.2705116025004439],[0.5223302071897343],[8.67496710363516],[0.08629324646108368],[0.10239180166684635]
60,260425_101721/60/forecast_Wh_metrics_60d.json,[0.4363370438104345],[8.359265765761243],[0.593669015332483],[0.03525993806220362],[0.44919919898269706],[8.209788796383323],[0.08198588360591917],[0.09365763871642852]
90,260425_101721/90/forecast_Wh_metrics_90d.json,[1.0056648444444438],[20.345520609180028],[1.3116334104737488],[-3.1746580845485886],[0.9919210261282623],[17.875566856866214],[0.19042896521752145],[0.21732849922719844]
30,260425_114241/30/forecast_Wh_metrics_30d.json,[0.5646216324618986],[9.718124643110096],[0.7897864424139732],[-1.1653982863776955],[0.6819063256507195],[10.50760854169621],[0.10339753286174613],[0.13367332827073888]
60,260425_114241/60/forecast_Wh_metrics_60d.json,[5.182865735148054],[99.76750201777385],[7.051674482450235],[-115.60245442841004],[4.938415903219954],[64.27848234962678],[0.9738385336165987],[1.0296553812711842]
90,260425_114241/90/forecast_Wh_metrics_90d.json,[1.8011262222222226],[35.46941187163662],[2.3491099868884207],[-10.701374990696513],[1.6606766878622845],[29.39428969421673],[0.34105458157224977],[0.3638519224493548]
30,260425_130903/30/forecast_Wh_metrics_30d.json,[0.44323659780585606],[8.062796839955462],[0.6199944097118575],[-0.038798765545537295],[0.4723039059628447],[8.129486721342637],[0.08116864117892648],[0.0925852022344514]
60,260425_130903/60/forecast_Wh_metrics_60d.json,[144.9969867463446],[2751.0265090945336],[197.27918949113294],[-83055.53016696309],[131.8016078575776],[183.52682011972576],[27.244320066850424],[27.480519553297075]
90,260425_130903/90/forecast_Wh_metrics_90d.json,[1.0056648444444438],[20.345520609180028],[1.3116334104737488],[-3.1746580845485886],[0.9919210261282623],[17.875566856866214],[0.19042896521752145],[0.21732849922719844]
30,260425_143020/30/forecast_Wh_metrics_30d.json,[0.7767284259463542],[13.585929445732864],[1.0864790595698133],[-2.3730576659043736],[0.8510747536616791],[14.922715174685692],[0.14224003886684247],[0.1668352245018301]
60,260425_143020/60/forecast_Wh_metrics_60d.json,[0.6896127631641326],[12.384120059500543],[0.938269477404781],[-1.7161184463220125],[0.7537167537034795],[13.42765668364932],[0.1295753192078138],[0.15714928159433106]
90,260425_143020/90/forecast_Wh_metrics_90d.json,[1.1053093867473318],[22.251651078836154],[1.4415943130327256],[-3.806961400286699],[1.064392873045804],[19.44835751193215],[0.20929728619457114],[0.23320697877540394]
30,260425_152919/30/forecast_Wh_metrics_30d.json,[0.4681551190476191],[8.256580406226854],[0.6548501593152471],[-0.2860443108352897],[0.5255133957878393],[8.596782144926914],[0.08573189818296127],[0.10301579853916766]
60,260425_152919/60/forecast_Wh_metrics_60d.json,[129.82009956736414],[2462.151190394113],[176.62990519320866],[-66584.10143204629],[118.01096161705946],[182.1244724085875],[24.392647206600135],[24.605181916485584]
90,260425_152919/90/forecast_Wh_metrics_90d.json,[1.0056648444444438],[20.345520609180028],[1.3116334104737488],[-3.1746580845485886],[0.9919210261282623],[17.875566856866214],[0.19042896521752145],[0.21732849922719844]
