date,G(h)_Whm2,G(h)_kWhm2,G(h)_mean,G(h)_min,G(h)_max,G(h)_std_Wm2,G(h)_p10_Wm2,G(h)_p90_Wm2,Gb(n)_Whm2,Gb(n)_kWhm2,Gb(n)_mean,Gb(n)_min,Gb(n)_max,Gb(n)_std_Wm2,Gb(n)_p10_Wm2,Gb(n)_p90_Wm2,Gd(h)_Whm2,Gd(h)_kWhm2,Gd(h)_mean,Gd(h)_min,Gd(h)_max,Gd(h)_std_Wm2,Gd(h)_p10_Wm2,Gd(h)_p90_Wm2,IR(h)_Whm2,IR(h)_kWhm2,IR(h)_mean,IR(h)_min,IR(h)_max,IR(h)_std_Wm2,IR(h)_p10_Wm2,IR(h)_p90_Wm2,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,RH_mean,RH_min,RH_max,RH_std,RH_p10,RH_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,SP_mean,WD10m_circmean,WD10m_circstd_deg,WD10m_mode_sector,n_obs_G(h),valid_frac_G(h),n_obs_T2m,valid_frac_T2m,n_obs_RH,valid_frac_RH,n_obs_WS10m,valid_frac_WS10m,n_obs_WD10m,valid_frac_WD10m,n_obs_SP,valid_frac_SP
2005-11-16,4242.3,4.2423,176.76250000000002,0.0,655.25,250.49365749585792,0.0,604.015,5740.12,5.74012,239.17166666666665,-0.0,772.38,310.695053607604,0.0,675.468,1120.9,1.1209,46.70416666666667,0.0,147.8,60.64353242813548,0.0,137.25,8815.15,8.81515,367.29791666666665,349.5,379.3,7.845719951538629,353.875,374.625,21.579583333333332,18.52,25.53,2.4597198128996345,18.8,24.965999999999998,82.10833333333333,62.55,93.0,10.596119743716958,64.7,92.085,0.8754166666666666,1.24,0.25566586833577154,0.501,1.17,95325.41666666667,13.32952172455066,56.04197014119664,NE,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-17,4477.95,4.47795,186.58124999999998,0.0,706.1,264.7487795318176,0.0,637.165,6367.09,6.36709,265.29541666666665,-0.0,818.56,348.0521426200786,0.0,780.335,1074.5,1.0745,44.770833333333336,0.0,136.45,57.70789810435993,0.0,128.5,8848.85,8.84885,368.70208333333335,346.2,384.55,8.515439675220513,357.315,378.205,21.521666666666665,17.21,26.08,3.271361459255375,17.441,25.797,80.49791666666667,58.45,96.05,12.99589800807285,60.6,92.9,1.1145833333333333,1.72,0.41423558899303403,0.5920000000000001,1.59,95071.25,111.21862449041527,94.90778638270187,E,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-18,3431.4500000000003,3.4314500000000003,142.97708333333335,0.0,545.6,199.3947662842683,0.0,461.19,4432.55,4.43255,184.68958333333333,-0.0,605.51,238.17446594934063,0.0,500.231,1138.8,1.1388,47.449999999999996,0.0,177.2,63.23644725053396,0.0,134.875,9006.45,9.006450000000001,375.26875,358.0,396.55,11.226403393436991,363.95500000000004,390.015,20.7525,17.7,23.9,2.179322291946263,18.183,23.455,80.26875,71.25,92.85,7.749499457889285,71.94000000000001,91.91999999999999,2.0175,2.9,0.6315353960956892,1.24,2.83,95025.83333333333,24.37027202068964,38.237120092823965,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-19,1587.65,1.58765,66.15208333333334,0.0,299.65,96.20148633847546,0.0,185.85999999999999,1099.29,1.0992899999999999,45.80375,-0.0,185.78,62.1950396325246,0.0,121.63399999999999,977.6,0.9776,40.733333333333334,0.0,176.75,57.28064903283821,0.0,121.12,9411.65,9.41165,392.15208333333334,386.1,401.55,4.686578411820845,386.71,398.32500000000005,19.20375,17.4,20.77,0.9737547789691305,18.021,20.603,87.8,75.7,96.1,6.861851062213462,79.11,96.1,1.3654166666666667,1.93,0.3781876594986956,0.83,1.839,95407.5,18.687086633748493,21.675131947760995,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-20,1990.05,1.9900499999999999,82.91875,0.0,391.15,125.78955840099523,0.0,267.86499999999995,1644.83,1.64483,68.53458333333333,-0.0,281.88,93.48787486965851,0.0,186.942,1074.2,1.0742,44.75833333333333,0.0,192.35,65.21079976351388,0.0,155.20499999999998,9326.15,9.32615,388.58958333333334,374.45,397.5,6.6884387462485035,379.305,396.29,19.199583333333333,17.95,21.1,1.0037299098283652,18.05,20.614,90.99791666666665,81.3,99.4,5.406708376731126,84.89,96.085,1.3158333333333334,2.14,0.375301810914046,0.851,1.818,95490.0,357.65314154388994,18.187479242980235,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-21,2459.25,2.45925,102.46875,0.0,387.85,148.49067297052406,0.0,360.27,2461.75,2.46175,102.57291666666667,-0.0,445.06,140.01029420163198,0.0,271.366,1120.05,1.12005,46.668749999999996,0.0,175.85,65.14050835543385,0.0,150.54499999999996,9008.15,9.008149999999999,375.33958333333334,352.2,394.0,12.304205530300786,358.525,390.315,19.737916666666667,17.41,23.22,1.8404417691948565,17.551000000000002,22.209999999999997,86.48125,73.7,92.9,5.934402510124672,76.865,92.85,0.9683333333333333,1.72,0.36246339145481665,0.5710000000000001,1.4289999999999998,95408.75,14.819627800419823,33.575457647568896,NE,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-22,3740.75,3.74075,155.86458333333334,0.0,628.35,221.13416765431495,0.0,498.9799999999999,4901.99,4.90199,204.24958333333333,-0.0,685.68,263.84210720542967,0.0,578.529,1194.3,1.1943,49.762499999999996,0.0,179.25,66.75187873923393,0.0,144.16,8544.1,8.5441,356.00416666666666,337.3,372.35,10.88721744171521,343.96,371.635,18.978333333333335,15.29,22.83,2.430349172742317,16.054000000000002,22.425,83.03333333333333,71.0,92.8,8.146253695740288,71.15,92.75,1.6925,2.21,0.3577374553447287,1.31,2.1189999999999998,95302.08333333333,6.99447478806735,23.747952241174975,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-23,4201.25,4.20125,175.05208333333334,0.0,663.55,248.49165171838644,0.0,588.71,6031.7,6.0317,251.32083333333333,-0.0,769.41,326.04776623807834,0.0,705.027,1059.25,1.05925,44.135416666666664,0.0,144.8,57.59268046633271,0.0,128.985,8243.45,8.243450000000001,343.4770833333334,331.9,359.55,7.663181016855962,333.675,352.96,18.455416666666668,16.16,21.56,1.7328036572251218,16.905,21.122999999999998,77.30208333333333,66.05,86.5,6.769215470031233,66.925,83.7,1.825,2.97,0.733781154438226,0.781,2.8089999999999997,95450.0,2.440516858000535,16.620654100996713,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-24,2451.9500000000003,2.45195,102.16458333333334,0.0,501.1,160.53615296410493,0.0,379.03499999999997,2592.94,2.59294,108.03916666666667,-0.0,473.33,159.7063797401661,0.0,391.62299999999993,991.25,0.99125,41.302083333333336,0.0,172.0,58.6898970625281,0.0,131.14499999999998,8899.45,8.89945,370.8104166666667,344.3,385.1,12.308869011431524,352.585,383.585,17.855833333333333,15.43,20.42,1.6509310065553326,15.853,20.098,81.46458333333334,68.4,89.7,5.650846015279995,73.2,86.605,1.5170833333333331,2.41,0.41759642642426775,1.121,2.049,95689.16666666667,12.995659693960306,14.568745938434931,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-25,2816.5,2.8165,117.35416666666667,0.0,496.05,175.00688739034806,0.0,416.9949999999999,3238.87,3.23887,134.95291666666665,-0.0,551.06,183.05839858122653,0.0,399.481,1118.85,1.11885,46.61875,0.0,181.1,65.68473089145307,0.0,151.93,8962.35,8.96235,373.43125000000003,358.2,390.95,8.349379207592259,364.36,385.71500000000003,18.605833333333333,15.89,21.44,1.7843959315633142,16.121,21.055,85.92083333333333,73.45,92.85,6.33236882434498,76.715,92.785,1.10375,1.93,0.42280443109849475,0.62,1.702,95725.83333333333,1.423308540534208,25.31653715317781,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-26,2748.15,2.74815,114.50625000000001,0.0,422.05,164.94936924935746,0.0,395.46,2992.17,2.99217,124.67375,-0.0,458.14,165.22351411273416,0.0,357.679,1154.35,1.15435,48.09791666666666,0.0,196.9,67.50538380971625,0.0,146.83499999999998,8942.25,8.94225,372.59375,355.7,385.9,9.439179594278505,359.39,383.675,19.207083333333333,17.18,22.0,1.7806410159086627,17.47,21.785999999999998,85.50625000000001,73.55,92.8,4.8737609908213795,78.595,89.7,1.3641666666666667,2.34,0.4748996842965128,0.802,2.1189999999999998,95659.16666666667,9.658379313284627,25.512019903793753,NE,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-11-27,3773.9500000000003,3.77395,157.24791666666667,0.0,635.1,229.4116385163912,0.0,555.55,5210.07,5.21007,217.08624999999998,-0.0,727.68,295.7280702415723,0.0,679.125,1116.45,1.11645,46.518750000000004,0.0,159.0,62.08703535553239,0.0,140.34,8856.8,8.8568,369.0333333333333,349.7,386.45,9.924855345202184,355.135,381.265,19.922083333333333,16.0,24.24,3.0620226040211147,16.333000000000002,24.057,83.28958333333334,62.35,92.9,11.732637302827962,65.175,92.85,1.3108333333333333,1.79,0.3082900478821664,0.921,1.59,95473.75,24.151415049801642,38.6582298139072,NE,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
