category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
60,260424_021209/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_021209/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_021249/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_021249/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_021249/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_021249/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
120,260424_021327/120/forecast_Wh_metrics_120d.json,[2.5835282154087786],[49.39808154966671],[3.166036160416858],[-15.551354503315203],[2.1882692804870887],[38.78533606968968],[0.47259633660140066],[0.48755432169544954]
30,260424_021327/30/forecast_Wh_metrics_30d.json,[0.4438458434978267],[8.092176485993301],[0.6208466157910322],[-0.021841567942054718],[0.46843313489516364],[8.140555892029733],[0.08128021058724287],[0.09182641934576466]
60,260424_021327/60/forecast_Wh_metrics_60d.json,[0.5619727015013632],[10.135665428430888],[0.7646056759943411],[-0.8652702457620887],[0.6246039087273528],[10.724905497443968],[0.10559229189582947],[0.1302293667418335]
90,260424_021327/90/forecast_Wh_metrics_90d.json,[0.5212865525436468],[10.364254016181361],[0.6798854136386173],[-0.20460411042459947],[0.5328301741511713],[9.833027090005439],[0.09870888828527571],[0.11674234040913171]
