category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260428_164915/90/forecast_Wh_metrics_90d.json,[0.8724864436794588],[17.69143846835593],[1.13793613850307],[1.3067951730646614],[-2.211561915423077],[0.8700110930930117],[15.764571916618204],"[""2025-11-30T00:00:00""]",[5.85374],[0.1652107971696858],[0.19061820466790824]
120,260428_174359/120/forecast_Wh_metrics_120d.json,[2.6693549519310675],[49.449989676594406],[3.2712142458503637],[2.4782469997510943],[-23.84738699467022],[2.681170024795609],[78.76928171067678],"[""2025-10-31T00:00:00""]",[6.54126],[0.4882963398066954],[0.5973743928345147]
30,260428_174359/30/forecast_Wh_metrics_30d.json,[0.802507],[13.997932518251721],[1.1225378414545262],[1.0793401086458987],[-2.637539923754869],[0.8838116238585034],[15.443218948172746],"[""2026-01-29T00:00:00""]",[4.72749],[0.14696079486448071],[0.17325259626062817]
60,260428_174359/60/forecast_Wh_metrics_60d.json,[1.8089184275430834],[33.11638522528677],[2.461168119759363],[2.422653200608593],[-14.655870800210348],[1.8095576794038186],[41.43855351225287],"[""2025-12-30T00:00:00""]",[4.57906],[0.33988811575113625],[0.3772911878693485]
90,260428_174359/90/forecast_Wh_metrics_90d.json,[0.6566567785805207],[13.357034440158088],[0.8564413629036373],[0.9835292167868642],[-0.9744931871898228],[0.6821728964101316],[12.187501181563047],"[""2025-11-30T00:00:00""]",[5.85374],[0.12434209223773621],[0.1494631204350683]
120,260428_184507/120/forecast_Wh_metrics_120d.json,[0.5785632433636051],[10.527821007194806],[0.7090118616286928],[0.5371419866791635],[-0.0855293360837841],[0.5604085797508236],[10.746583716656048],"[""2025-10-31T00:00:00""]",[6.54126],[0.10583467510634538],[0.12486106139181584]
30,260428_184507/30/forecast_Wh_metrics_30d.json,[0.9233172120394715],[16.375774040624833],[1.291525818691425],[1.2418250556784072],[-3.5341868607235067],[0.9867463573305222],[18.289208181345483],"[""2026-01-29T00:00:00""]",[4.72749],[0.16908442093760803],[0.19343077601975542]
60,260428_184507/60/forecast_Wh_metrics_60d.json,[1.4434294382987989],[26.278921931791004],[1.9638931543686522],[1.9331601112035004],[-9.070884262817872],[1.4513348335247598],[31.24532343290279],"[""2025-12-30T00:00:00""]",[4.57906],[0.271214281712775],[0.3026020389231945]
90,260428_184507/90/forecast_Wh_metrics_90d.json,[1.366605739812243],[27.28955805589086],[1.782388792036526],[2.0468785471756954],[-5.917593862781886],[1.2768626131048166],[23.40263257601479],"[""2025-11-30T00:00:00""]",[5.85374],[0.258775394536671],[0.2797587994565872]
120,260428_193916/120/forecast_Wh_metrics_120d.json,[0.8110445931481797],[14.225725701253738],[0.9939107667966482],[0.7529792275020485],[-1.2027570229088047],[0.7983021346997463],[15.63254258301548],"[""2025-10-31T00:00:00""]",[6.54126],[0.1483617253553223],[0.1778646070948491]
30,260428_193916/30/forecast_Wh_metrics_30d.json,[0.7984219814411048],[14.005383968999855],[1.1168237630534605],[1.0738459205887496],[-2.427391831892876],[0.857902045818944],[15.363692519243447],"[""2026-01-29T00:00:00""]",[4.72749],[0.14621271718484502],[0.1681735708866762]
60,260428_193916/60/forecast_Wh_metrics_60d.json,[0.9882534878151201],[17.890760451770728],[1.3445924047305566],[1.323550823969304],[-4.457577068858498],[1.068399694232811],[20.313791442021802],"[""2025-12-30T00:00:00""]",[4.57906],[0.1856886472842179],[0.2227603984909459]
