date,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P_Wh,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2005-01-11,0.22019,3.17589,3175.89,3.17589,132.32874999999999,0.0,703.58,207.450932685979,0.0,438.85999999999996,220.19,0.22019,9.174583333333333,0.0,49.01,14.59482516366575,0.0,31.178,14.91375,13.46,18.03,1.4898141480238978,13.523,17.11,1.3904166666666666,2.21,0.5032371656858586,0.781,1.86,43.63,11.895000000000001,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-12,0.41635,6.03589,6035.89,6.03589,251.49541666666667,0.0,924.76,352.7237982871013,0.0,831.126,416.35,0.41635,17.347916666666666,0.0,62.93,24.324192998663527,0.0,57.187,14.707916666666668,10.69,18.81,2.7468020602094754,11.126999999999999,18.454,1.6958333333333335,2.41,0.41012104964549045,1.212,2.28,43.8,11.949166666666665,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-13,0.2613,3.7122,3712.2,3.7121999999999997,154.67499999999998,0.0,632.93,227.94411849512974,0.0,546.669,261.3,0.26130000000000003,10.887500000000001,0.0,44.91,16.279852378884176,0.0,39.150999999999996,13.464166666666666,10.75,16.74,1.8364235484428322,11.302,16.311,1.4870833333333333,2.55,0.6792417714319188,1.03,2.34,43.98,12.006666666666668,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-14,0.40969,5.77304,5773.04,5.77304,240.54333333333332,0.0,918.93,335.36860534235365,0.0,780.7299999999999,409.69,0.40969,17.070416666666667,0.0,64.49,23.847138645086353,0.0,55.67399999999999,12.264583333333334,9.61,14.95,1.656888070966215,10.047,14.597999999999999,2.1733333333333333,3.52,0.7447594690010102,1.373,3.3169999999999997,44.16,12.066249999999998,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-15,0.47188,6.66038,6660.38,6.66038,277.5158333333333,0.0,987.21,372.5815644686195,0.0,860.848,471.88,0.47188,19.661666666666665,0.0,68.68,26.35312120226842,0.0,60.793,10.431666666666667,7.61,14.04,2.2698183544765955,8.074000000000002,13.741,1.9800000000000002,2.97,0.5950301417283139,1.24,2.879,44.35,12.128750000000002,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-16,0.47303999999999996,6.70662,6706.62,6.70662,279.4425,0.0,959.18,377.335645664613,0.0,882.542,473.03999999999996,0.47303999999999996,19.709999999999997,0.0,66.52,26.55006624080822,0.0,61.885,9.82625,6.71,14.25,2.835740548167576,6.957,13.945,1.7470833333333333,3.03,0.5678294229988335,1.24,2.655,44.55,12.192916666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-17,0.46454999999999996,6.6801900000000005,6680.1900000000005,6.6801900000000005,278.34125,0.0,939.85,375.40363626962454,0.0,902.1909999999999,464.55,0.46455,19.35625,0.0,64.32,25.989646402148214,0.0,62.087,9.68125,3.16,14.84,4.336483560895053,3.536,14.604999999999999,1.2479166666666666,1.79,0.4250215254565929,0.69,1.702,44.75,12.26,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-18,0.4114,5.88294,5882.94,5.88294,245.12249999999997,0.0,851.22,330.6674956383514,0.0,773.3219999999999,411.4,0.4114,17.141666666666666,0.0,58.81,23.090759617434525,0.0,53.900999999999996,11.315833333333332,4.64,15.9,3.5740951018546565,6.226,15.616,1.2075,1.66,0.3124969565069185,0.83,1.59,44.96,12.32875,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-19,0.4614,6.70562,6705.62,6.70562,279.4008333333333,0.0,994.23,384.514421032403,0.0,904.0459999999999,461.4,0.4614,19.224999999999998,0.0,67.25,26.352620363068258,0.0,61.734,13.149583333333332,8.48,17.88,3.374587226502726,9.426,17.645,1.5304166666666665,2.34,0.48137917050605894,1.03,2.3009999999999997,45.17,12.399583333333334,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-20,0.44014,6.4151299999999996,6415.13,6.41513,267.2970833333333,0.0,941.77,364.15115168530207,0.0,873.8589999999999,440.14,0.44014,18.339166666666667,0.0,63.26,24.899693889626462,0.0,59.528999999999996,13.348333333333334,8.9,19.08,3.7083380394042766,9.362,18.645,1.6816666666666666,2.28,0.30148425103674714,1.401,2.1679999999999997,45.39,12.472500000000002,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-21,0.44761,6.58066,6580.66,6.58066,274.19416666666666,0.0,958.28,374.10962422584873,0.0,893.567,447.61,0.44761,18.65041666666667,0.0,63.92,25.345309913304458,0.0,60.088,13.683333333333332,7.78,19.7,4.5094024155011425,7.952,19.445,1.4608333333333334,1.93,0.4060511497728876,0.921,1.839,45.62,12.549166666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-22,0.41568,6.11372,6113.72,6.11372,254.73833333333334,0.0,974.61,363.7723058472831,0.0,901.0029999999999,415.68,0.41568,17.32,0.0,65.03,24.657199495411515,0.0,60.565999999999995,14.345416666666667,9.43,19.62,3.5667607752043353,9.515,18.754,1.085,1.86,0.44395456093378866,0.47300000000000003,1.73,45.85,12.625416666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-23,0.46412000000000003,6.85739,6857.39,6.8573900000000005,285.7245833333333,0.0,999.09,387.53939013236663,0.0,914.894,464.12,0.46412,19.338333333333335,0.0,66.15,26.125074023887915,0.0,61.445,15.494166666666667,10.62,20.65,3.4411549080867125,10.83,20.153,1.33625,1.93,0.41625465136453266,0.76,1.839,46.09,12.705416666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-24,0.44859000000000004,6.68767,6687.67,6.68767,278.65291666666667,0.0,1013.21,382.222614789262,0.0,914.6249999999999,448.59,0.44859,18.69125,0.0,66.45,25.531554443131906,0.0,60.92099999999999,16.205833333333334,12.38,20.86,2.943761150321971,13.417,20.544,1.0370833333333334,1.79,0.4002442641868747,0.543,1.6389999999999998,46.34,12.787500000000001,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-25,0.4126,6.09278,6092.78,6.092779999999999,253.8658333333333,0.0,959.66,344.0213910552993,0.0,794.0909999999999,412.59999999999997,0.41259999999999997,17.191666666666666,0.0,63.69,23.300116190541917,0.0,53.799,17.117083333333333,12.23,21.33,3.136179452450228,12.394,21.073999999999998,1.1866666666666668,2.0,0.5597256056526166,0.48,1.888,46.58,12.870833333333332,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-26,0.38236,5.66023,5660.23,5.660229999999999,235.84291666666664,0.0,931.86,334.8236945731961,0.0,788.3669999999998,382.36,0.38236000000000003,15.931666666666667,0.0,61.76,22.53703727811982,0.0,53.14999999999999,16.280416666666667,11.95,21.44,3.467380265531472,12.265,20.899,1.26,1.72,0.35356568788864945,0.711,1.639,46.84,12.956666666666669,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
