file,column,used,usage_type,exists_in_other_file
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,sin_DOY_k3,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,cos_DOY_k3,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_2,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_3,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_4,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_5,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_6,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_7,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_8,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_9,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_10,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_11,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,month_12,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,season_spring,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,season_summer,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,season_autumn,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,is_weekend,False,unused,True
