date,_date(org),doy,month,day,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,P_Wh_min_max_scaled,P_Wh_min_max_scaled_kWh,P_Wh_min_max_scaled_mean,P_Wh_min_max_scaled_min,P_Wh_min_max_scaled_max,P_Wh_min_max_scaled_std,P_Wh_min_max_scaled_p10,P_Wh_min_max_scaled_p90,P_max_normalization,P_max_normalization_kWh,P_max_normalization_mean,P_max_normalization_min,P_max_normalization_max,P_max_normalization_std,P_max_normalization_p10,P_max_normalization_p90,P_wh_max_scaled,P_wh_max_scaled_kWh,P_wh_max_scaled_mean,P_wh_max_scaled_min,P_wh_max_scaled_max,P_wh_max_scaled_std,P_wh_max_scaled_p10,P_wh_max_scaled_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_P_Wh_min_max_scaled,valid_frac_P_Wh_min_max_scaled,n_obs_P_max_normalization,valid_frac_P_max_normalization,n_obs_P_wh_max_scaled,valid_frac_P_wh_max_scaled,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2026/06/16,2005-06-16,167,6,16,0.0608999999999999,1.04895,1048.95,1.04895,43.70625,0.0,196.37,59.18469197002682,0.0,138.076,60.9,0.0608999999999999,2.5375,0.0,12.75,3.749913912055327,0.0,8.604999999999999,0.9677728615139012,0.0009677728615139,0.0403238692297458,0.0,0.2026125448982306,0.0595905569310438,0.0,0.1367436038313156,0.8101636291073561,0.0008101636291073,0.0337568178794731,0.0,0.1696155381136091,0.0498857777312135,0.0,0.1144738592523612,0.9677728615139012,0.0009677728615139,0.0403238692297458,0.0,0.2026125448982306,0.0595905569310438,0.0,0.1367436038313156,22.200416666666666,20.88,23.2,0.6157884953573699,21.318,22.961,1.4633333333333332,2.62,0.649974358468599,0.69,2.329,83.62,24.847916666666663,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/17,2005-06-17,168,6,17,0.12644,2.00746,2007.46,2.00746,83.64416666666666,0.0,347.8,106.43820807588692,0.0,240.452,126.44,0.12644,5.2683333333333335,0.0,23.35,7.032135346836825,0.0,15.672,2.0092807981907668,0.0020092807981907,0.0837200332579486,0.0,0.3710590528136224,0.1117489285248165,0.0,0.2490465728349074,1.6820540109086066,0.0016820540109086,0.0700855837878586,0.0,0.3106292403884528,0.0935497585052125,0.0,0.2084874284954103,2.0092807981907668,0.0020092807981907,0.0837200332579486,0.0,0.3710590528136224,0.1117489285248165,0.0,0.2490465728349074,22.52958333333333,20.43,25.27,1.6009005051958187,20.589,24.524,0.9858333333333332,1.86,0.3361407141512985,0.662,1.4359999999999995,83.57,24.854166666666668,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/18,2005-06-18,169,6,18,0.24178,3.71387,3713.87,3.71387,154.74458333333334,0.0,535.14,199.16287629844828,0.0,473.075,241.78,0.24178,10.074166666666668,0.0,35.67,13.408359792265442,0.0,31.684,3.842169498470134,0.0038421694984701,0.1600903957695889,0.0,0.5668383903152853,0.2130746588566284,0.0,0.5034961468671012,3.2164427298124245,0.0032164427298124,0.1340184470755177,0.0,0.4745244113343089,0.1783738165792928,0.0,0.4214979380071836,3.842169498470134,0.0038421694984701,0.1600903957695889,0.0,0.5668383903152853,0.2130746588566284,0.0,0.5034961468671012,23.420416666666668,21.0,26.15,2.020904832143194,21.178,25.854,1.5679166666666668,2.21,0.3385131063761133,1.17,1.93,83.53,24.85875,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/19,2005-06-19,170,6,19,0.29405,4.47748,4477.48,4.47748,186.56166666666664,0.0,660.39,235.8059981290196,0.0,547.0509999999999,294.05,0.29405,12.252083333333331,0.0,44.46,16.017749659882522,0.0,36.962,4.67280147665292,0.0046728014766529,0.1947000615272049,0.0,0.7065218624451244,0.2545409429122797,0.0,0.5873697948649725,3.911799920180923,0.0039117999201809,0.1629916633408717,0.0,0.59145935878675,0.2130869982690238,0.0,0.4917121191964879,4.67280147665292,0.0046728014766529,0.1947000615272049,0.0,0.7065218624451244,0.2545409429122797,0.0,0.5873697948649725,23.56958333333333,20.24,26.83,2.431361184634016,20.521,26.317,1.9333333333333331,3.31,0.4858758713075187,1.401,2.627,83.48,24.86083333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/20,2005-06-20,171,6,20,0.32658,4.98386,4983.86,4.98386,207.66083333333333,0.0,687.94,261.37870449692866,0.0,609.4119999999999,326.58,0.32658,13.6075,0.0,46.29,17.70621095891888,0.0,41.123,5.189741561793268,0.0051897415617932,0.2162392317413861,0.0,0.7356027218305173,0.2813725853248232,0.0,0.6534929948117599,4.344552348011174,0.0043445523480111,0.1810230145004655,0.0,0.6158041771983503,0.235548901941185,0.0,0.547066648929094,5.189741561793268,0.0051897415617932,0.2162392317413861,0.0,0.7356027218305173,0.2813725853248232,0.0,0.6534929948117599,23.812083333333334,20.14,27.37,2.578508128097849,20.565,26.969,1.9308333333333332,3.03,0.5517081511614369,1.373,2.767,83.44,24.863333333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/21,2005-06-21,172,6,21,0.30767,4.67717,4677.17,4.67717,194.88208333333333,0.0,690.33,251.43287220629244,0.0,583.313,307.67,0.30767,12.819583333333334,0.0,46.25,17.071175675660868,0.0,39.563,4.889239348144206,0.0048892393481442,0.2037183061726752,0.0,0.7349670746308368,0.2712811253372879,0.0,0.6287027540242117,4.092989224424637,0.0040929892244246,0.1705412176843599,0.0,0.6152720500199548,0.2271009136046411,0.0,0.5263136889716642,4.889239348144206,0.0048892393481442,0.2037183061726752,0.0,0.7349670746308368,0.2712811253372879,0.0,0.6287027540242117,23.613333333333333,20.7,26.94,2.2168282604279206,20.916,26.498,1.7645833333333334,3.38,0.7272340641485181,1.24,3.17,83.39,24.862916666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/22,2005-06-22,173,6,22,0.30646,4.65887,4658.87,4.65887,194.1195833333333,0.0,642.59,245.0975787487801,0.0,582.5509999999999,306.46,0.3064599999999999,12.769166666666663,0.0,43.38,16.608174759454446,0.0,39.243,4.870011020353864,0.0048700110203538,0.2029171258480776,0.0,0.6893593880537449,0.2639234944413823,0.0,0.623617576426766,4.0768923772781696,0.0040768923772781,0.1698705157199237,0.0,0.5770919249700679,0.220941529326253,0.0,0.5220566715444991,4.870011020353864,0.0048700110203538,0.2029171258480776,0.0,0.6893593880537449,0.2639234944413823,0.0,0.623617576426766,23.86208333333333,20.3,26.89,2.3774538429509677,20.616,26.59,1.67,3.45,0.6847341597767832,1.072,2.676,83.34,24.864166666666662,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/23,2005-06-23,174,6,23,0.31647,4.82706,4827.06,4.82706,201.12750000000003,0.0,688.17,258.2064379733193,0.0,635.9879999999999,316.47,0.31647,13.18625,0.0,46.24,17.42762420199859,0.0,42.74,5.029081732073965,0.0050290817320739,0.2095450721697485,0.0,0.7348081628309165,0.2769455130272102,0.0,0.6791890328588532,4.210057203671677,0.0042100572036716,0.1754190501529865,0.0,0.6151390182253559,0.2318428123187254,0.0,0.5685778901157377,5.029081732073965,0.0050290817320739,0.2095450721697485,0.0,0.7348081628309165,0.2769455130272102,0.0,0.6791890328588532,23.975,21.32,27.1,2.05722269513811,21.594,26.499,1.4375,3.1,0.6964958878120748,0.683,2.487,83.29,24.8625,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/24,2005-06-24,175,6,24,0.2046599999999999,3.16329,3163.29,3.16329,131.80375,0.0,528.13,162.2561109135935,0.0,358.469,204.66,0.20466,8.5275,0.0,35.15,10.855385459681331,0.0,24.027,3.252288897166422,0.0032522888971664,0.1355120373819342,0.0,0.5585749767194359,0.172504884222532,0.0,0.3818173816682186,2.722628708261273,0.0027226287082612,0.1134428628442197,0.0,0.4676067580151656,0.1444111408764311,0.0,0.3196354928827989,3.252288897166422,0.0032522888971664,0.1355120373819342,0.0,0.5585749767194359,0.172504884222532,0.0,0.3818173816682186,23.3175,21.15,25.77,1.629527138666974,21.371,25.271,1.0658333333333332,1.93,0.29288544528189,0.781,1.408,83.24,24.860416666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/25,2005-06-25,176,6,25,0.19586,3.03003,3030.03,3.03003,126.25125,0.0,541.57,158.57648790334864,0.0,325.45,195.86,0.19586,8.160833333333334,0.0,36.22,10.60759650548551,0.0,21.67,3.1124465132366628,0.0031124465132366,0.1296852713848609,0.0,0.5755785393108952,0.1685672253513723,0.0,0.344361870427032,2.605560729014234,0.0026055607290142,0.108565030375593,0.0,0.4818411600372488,0.1411147599505854,0.0,0.288279898895836,3.1124465132366628,0.0031124465132366,0.1296852713848609,0.0,0.5755785393108952,0.1685672253513723,0.0,0.344361870427032,23.1075,20.52,27.45,1.9810081974239448,20.882,25.314,1.0020833333333334,2.07,0.3997388187159283,0.522,1.31,83.19,24.857916666666668,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
