date,_date(org),doy,month,day,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,P_mapped_Wh,P_mapped_Wh_kWh,P_mapped_Wh_mean,P_mapped_Wh_min,P_mapped_Wh_max,P_mapped_Wh_std,P_mapped_Wh_p10,P_mapped_Wh_p90,P_normalized_0_1_Wh,P_normalized_0_1_Wh_kWh,P_normalized_0_1_Wh_mean,P_normalized_0_1_Wh_min,P_normalized_0_1_Wh_max,P_normalized_0_1_Wh_std,P_normalized_0_1_Wh_p10,P_normalized_0_1_Wh_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_P_mapped_Wh,valid_frac_P_mapped_Wh,n_obs_P_normalized_0_1_Wh,valid_frac_P_normalized_0_1_Wh,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2026/09/25,2005-09-25,268,9,25,0.1754899999999999,2.69412,2694.12,2.69412,112.255,0.0,407.88,148.0473441900905,0.0,330.977,175.48999999999998,0.1754899999999999,7.312083333333333,0.0,27.36,9.990093344720652,0.0,22.402,2.7887431767992545,0.0027887431767992,0.1161976323666356,0.0,0.434782684581615,0.1587543714780179,0.0,0.3559942141811892,146.91010765650375,0.1469101076565037,6.121254485687657,0.0,22.904214174493948,8.3631300288987,0.0,18.753662497697857,22.964583333333334,21.18,25.37,1.405813950108207,21.396,24.908,0.8275,1.59,0.4468853563713297,0.231,1.359,64.7,18.705,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/09/26,2005-09-26,269,9,26,0.29789,4.52311,4523.11,4.52311,188.46291666666664,0.0,753.48,255.0350781751774,0.0,597.1039999999999,297.89,0.29789,12.412083333333332,0.0,49.59,17.052393936021865,0.0,39.816,4.733823607822269,0.0047338236078222,0.1972426503259279,0.0,0.7880436158041773,0.2709826613321213,0.0,0.6327232225621923,249.3763289634504,0.2493763289634503,10.390680373477098,0.0,41.51388819127028,14.275280807693228,0.0,33.331659048671455,23.067916666666665,20.08,26.25,2.0934597516752182,20.362,25.508,0.8725,1.38,0.4246149150547547,0.48,1.38,64.33,18.58083333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/09/27,2005-09-27,270,9,27,0.3693099999999999,5.68019,5680.19,5.68019,236.6745833333333,0.0,864.47,321.32975029695865,0.0,767.134,369.31,0.36931,15.387916666666667,0.0,55.76,21.11209234768315,0.0,50.339,5.868771682852201,0.0058687716828522,0.244532153452175,0.0,0.8860921963549286,0.3354960595051406,0.0,0.7999461096181986,309.1650342391213,0.3091650342391213,12.881876426630056,0.0,46.67905637316456,17.673826198941143,0.0,42.14090779714368,23.33875,19.22,27.08,2.52373655432816,19.658,26.49,1.055416666666667,1.52,0.3287258560043567,0.641,1.45,63.96,18.45625,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/09/28,2005-09-28,271,9,28,0.36697,5.62058,5620.58,5.62058,234.19083333333333,0.0,893.51,312.3062820640447,0.0,757.4929999999999,366.97,0.36697,15.290416666666667,0.0,57.77,20.60150152382665,0.0,49.777,5.831586321670879,0.0058315863216708,0.2429827634029533,0.0,0.9180334681388852,0.3273821688209643,0.0,0.7910152664626845,307.2061211847239,0.3072061211847239,12.800255049363496,0.0,48.36171245835217,17.246389006501794,0.0,41.670433807155895,23.324583333333333,18.74,27.15,2.690437137855784,19.461,26.704,1.06125,1.59,0.3492266300419182,0.69,1.45,63.59,18.33083333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/09/29,2005-09-29,272,9,29,0.34342,5.23672,5236.72,5.23672,218.1966666666667,0.0,850.88,298.8211194251383,0.0,748.3019999999999,343.42,0.34342,14.309166666666668,0.0,55.53,19.87760940850537,0.0,49.521,5.457349032858853,0.0054573490328588,0.2273895430357855,0.0,0.8824372249567646,0.3158786689215911,0.0,0.7869471243847279,287.4914192911079,0.2874914192911079,11.978809137129495,0.0,46.486513637048574,16.6403882737333,0.0,41.45612537043549,23.438333333333333,20.89,26.5,1.9433446441115625,21.276,26.071,1.005,1.86,0.3425987639257886,0.641,1.4289999999999998,63.21,18.204166666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/09/30,2005-09-30,273,9,30,0.30616,4.65979,4659.79,4.65979,194.1579166666667,0.0,798.86,274.4818338010284,0.0,652.4769999999999,306.16,0.30616,12.756666666666666,0.0,52.79,18.33151969948901,0.0,43.49399999999999,4.865243666356259,0.0048652436663562,0.2027184860981774,0.0,0.838895391778635,0.2913094790718052,0.0,0.6911709825728347,256.2994960403168,0.2562994960403168,10.679145668346534,0.0,44.19274365027543,15.346091130886377,0.0,36.41066854186548,23.71333333333333,21.33,26.19,1.5663601303566863,21.834,25.91,0.8016666666666667,1.79,0.4920027100196366,0.249,1.569,62.84,18.077916666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/10/01,2005-10-01,274,10,1,0.2828299999999999,4.29971,4299.71,4.29971,179.1545833333333,0.0,713.47,239.93668025179812,0.0,547.7539999999999,282.83,0.2828299999999999,11.784583333333332,0.0,47.23,16.104060243944062,0.0,36.74699999999999,4.494502437142477,0.0044945024371424,0.1872709348809365,0.0,0.7505404310230144,0.2559125199388178,0.0,0.5839531911666888,236.76896545950743,0.2367689654595074,9.86537356081281,0.0,39.53823229025399,13.481390530199125,0.0,30.76246923501933,23.87875,20.68,26.75,1.800235039002455,22.077,26.172,1.2875,2.28,0.5362612114972718,0.641,2.028,62.47,17.951249999999998,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/10/02,2005-10-02,275,10,2,0.02728,0.55282,552.82,0.5528200000000001,23.034166666666668,0.0,85.84,29.66936949501765,0.0,69.98999999999998,27.28,0.02728,1.1366666666666667,0.0,4.84,1.615228255956594,0.0,3.772,0.4335113901822529,0.0004335113901822,0.0180629745909272,0.0,0.0769133111613675,0.0256678829435996,0.0,0.0599415309298921,22.83724278801882,0.0228372427880188,0.9515517828341176,0.0,4.051768881745274,1.3521759471902104,0.0,3.157700872302309,22.711250000000003,21.45,24.19,0.7375418190059528,21.948,23.770000000000003,2.6554166666666665,6.48,1.65210795301209,1.31,5.578999999999999,62.1,17.825,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/10/03,2005-10-03,276,10,3,0.38182,5.860460000000001,5860.46,5.86046,244.1858333333333,0.0,814.62,325.1090106934256,0.0,790.3389999999999,381.82,0.38182,15.909166666666666,0.0,53.16,21.36775342032672,0.0,51.635,6.0675703445523474,0.0060675703445523,0.2528154310230144,0.0,0.8447751283756817,0.339558815627472,0.0,0.8205410788878541,319.6376847991696,0.3196376847991695,13.318236866632065,0.0,44.50248631272289,17.887850905224365,0.0,43.22584425804075,23.00625,18.66,26.69,2.7455257079553066,19.322,26.454,0.9466666666666668,1.66,0.4233989450467097,0.3400000000000001,1.52,61.72,17.697083333333335,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/10/04,2005-10-04,277,10,4,0.31265,4.74268,4742.68,4.74268,197.61166666666668,0.0,755.48,274.5481793256231,0.0,637.361,312.65,0.31265,13.027083333333332,0.0,50.3,18.42493477757712,0.0,42.551,4.968377424504456,0.0049683774245044,0.207015726021019,0.0,0.79932635359851,0.2927939548916719,0.0,0.6761855998403618,261.7325497681116,0.2617325497681116,10.90552290700465,0.0,42.10825924623705,15.424292847101915,0.0,35.62124332378991,23.10708333333333,19.36,26.2,2.3178616066401,19.886,25.945,1.0458333333333334,1.86,0.376747137742414,0.711,1.485,61.35,17.570416666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
