category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
30,260428_204240/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_204240/60/forecast_Wh_metrics_60d.json,[0.5257562493636947],[9.571571719438902],[0.7153304980455568],[0.7041362622365058],[-0.638258819122379],[0.585362738359653],[9.983651400176624],"[""2025-12-30T00:00:00""]",[4.57906],[0.09878737383604581],[0.1220476171629581]
90,260428_204240/90/forecast_Wh_metrics_90d.json,[0.5679782346960519],[11.419916790118249],[0.7407828096653696],[0.8507080206042433],[-0.46483027132331434],[0.5875709201279607],[10.65769616075942],"[""2025-11-30T00:00:00""]",[5.85374],[0.10755025205141173],[0.12873596072399598]
120,260428_214953/120/forecast_Wh_metrics_120d.json,[1.2672115188891564],[22.77869685487066],[1.5529296207299346],[1.1764876538675388],[-4.147010824211222],[1.220285734051127],[26.926009049154715],"[""2025-10-31T00:00:00""]",[6.54126],[0.2318068438170141],[0.2718840814725962]
30,260428_214953/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_214953/60/forecast_Wh_metrics_60d.json,[0.6522769110979605],[11.676872174294596],[0.8874712725602865],[0.873583198829414],[-1.501086085394764],[0.7232661442357198],[12.633164222035903],"[""2025-12-30T00:00:00""]",[4.57906],[0.1225600706396568],[0.15080035624743537]
90,260428_214953/90/forecast_Wh_metrics_90d.json,[0.656716687446053],[13.358166023772993],[0.8565194987458612],[0.9836189472541609],[-0.9747070454925948],[0.6822098386464165],[12.188521354672549],"[""2025-11-30T00:00:00""]",[5.85374],[0.12435343635832836],[0.14947121442698744]
120,260428_225342/120/forecast_Wh_metrics_120d.json,[0.8274777176771277],[15.079186441354736],[1.0140490668844802],[0.7682358502793754],[-1.543461845057033],[0.8578208677172428],[16.55756482899194],"[""2025-10-31T00:00:00""]",[6.54126],[0.15136778288741187],[0.19112559639048954]
30,260428_225342/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_225342/60/forecast_Wh_metrics_60d.json,[0.6458805528871703],[11.588256182627422],[0.8787685512704494],[0.8650166667759719],[-1.3983498807991621],[0.7082557130860357],[12.486050449650087],"[""2025-12-30T00:00:00""]",[4.57906],[0.12135822200633417],[0.14767069452769332]
